merchant_id,feature,is_used,monthly_frequency
BPM100013,Settlement History,Yes,5
BPM100013,Loan Dashboard,No,0
BPM100013,Rewards,No,0
BPM100014,QR Payments,Yes,17
BPM100014,Soundbox Alerts,No,0
BPM100014,Business Reports,Yes,2
BPM100014,Settlement History,No,0
BPM100014,Loan Dashboard,No,0
BPM100014,Rewards,Yes,14
BPM100015,QR Payments,No,0
BPM100015,Soundbox Alerts,Yes,14
BPM100015,Business Reports,No,0
BPM100015,Settlement History,Yes,18
BPM100015,Loan Dashboard,Yes,2
BPM100015,Rewards,No,0
BPM100016,QR Payments,No,0
BPM100016,Soundbox Alerts,No,0
BPM100016,Business Reports,No,0
BPM100016,Settlement History,No,0
BPM100016,Loan Dashboard,No,0
BPM100016,Rewards,No,0
BPM100017,QR Payments,Yes,21
BPM100017,Soundbox Alerts,Yes,20
BPM100017,Business Reports,Yes,5
BPM100017,Settlement History,Yes,17
BPM100017,Loan Dashboard,Yes,2
BPM100017,Rewards,Yes,19
BPM100018,QR Payments,Yes,27
BPM100018,Soundbox Alerts,Yes,10
BPM100018,Business Reports,Yes,7
BPM100018,Settlement History,No,0
BPM100018,Loan Dashboard,Yes,7
BPM100018,Rewards,Yes,20
BPM100019,QR Payments,Yes,21
BPM100019,Soundbox Alerts,No,0
BPM100019,Business Reports,No,0
BPM100019,Settlement History,Yes,20
BPM100019,Loan Dashboard,Yes,6
BPM100019,Rewards,No,0
BPM100020,QR Payments,No,0
BPM100020,Soundbox Alerts,No,0
BPM100020,Business Reports,No,0
BPM100020,Settlement History,Yes,9
BPM100020,Loan Dashboard,Yes,2
BPM100020,Rewards,Yes,15
BPM100021,QR Payments,Yes,25
BPM100021,Soundbox Alerts,No,0
BPM100021,Business Reports,No,0
BPM100021,Settlement History,Yes,16
BPM100021,Loan Dashboard,No,0
BPM100021,Rewards,Yes,11
BPM100022,QR Payments,No,0
BPM100022,Soundbox Alerts,Yes,11
BPM100022,Business Reports,Yes,3
BPM100022,Settlement History,Yes,12
BPM100022,Loan Dashboard,Yes,5
BPM100022,Rewards,Yes,13
BPM100023,QR Payments,Yes,21
BPM100023,Soundbox Alerts,Yes,18
BPM100023,Business Reports,Yes,3
BPM100023,Settlement History,No,0
BPM100023,Loan Dashboard,Yes,2
BPM100023,Rewards,No,0
BPM100024,QR Payments,No,0
BPM100024,Soundbox Alerts,No,0
BPM100024,Business Reports,No,0
BPM100024,Settlement History,Yes,14
BPM100024,Loan Dashboard,Yes,3
BPM100024,Rewards,Yes,15
BPM100025,QR Payments,Yes,24
BPM100025,Soundbox Alerts,No,0
BPM100025,Business Reports,Yes,3
BPM100025,Settlement History,No,0
BPM100025,Loan Dashboard,Yes,7
BPM100025,Rewards,Yes,11
BPM100026,QR Payments,Yes,22
BPM100026,Soundbox Alerts,Yes,7
BPM100026,Business Reports,Yes,6
BPM100026,Settlement History,Yes,17
BPM100026,Loan Dashboard,Yes,4
BPM100026,Rewards,Yes,11
BPM100027,QR Payments,Yes,21
BPM100027,Soundbox Alerts,Yes,19
BPM100027,Business Reports,Yes,5
BPM100027,Settlement History,Yes,14
BPM100027,Loan Dashboard,Yes,1
BPM100027,Rewards,Yes,7
BPM100028,QR Payments,No,0
BPM100028,Soundbox Alerts,Yes,8
BPM100028,Business Reports,No,0
BPM100028,Settlement History,No,0
BPM100028,Loan Dashboard,No,0
BPM100028,Rewards,No,0
BPM100029,QR Payments,Yes,27
BPM100029,Soundbox Alerts,No,0
BPM100029,Business Reports,No,0
BPM100029,Settlement History,Yes,13
BPM100029,Loan Dashboard,Yes,1
BPM100029,Rewards,Yes,9
BPM100030,QR Payments,Yes,24
BPM100030,Soundbox Alerts,Yes,15
BPM100030,Business Reports,Yes,8
BPM100030,Settlement History,Yes,9
BPM100030,Loan Dashboard,Yes,2
BPM100030,Rewards,Yes,18
BPM100031,QR Payments,Yes,17
BPM100031,Soundbox Alerts,No,0
BPM100031,Business Reports,No,0
BPM100031,Settlement History,Yes,7
BPM100031,Loan Dashboard,No,0
BPM100031,Rewards,Yes,14
BPM100032,QR Payments,Yes,21
BPM100032,Soundbox Alerts,Yes,7
BPM100032,Business Reports,No,0
BPM100032,Settlement History,Yes,19
BPM100032,Loan Dashboard,Yes,3
BPM100032,Rewards,Yes,7
BPM100033,QR Payments,Yes,29
BPM100033,Soundbox Alerts,Yes,6
BPM100033,Business Reports,Yes,3
BPM100033,Settlement History,Yes,18
BPM100033,Loan Dashboard,Yes,8
BPM100033,Rewards,Yes,13
BPM100034,QR Payments,No,0
BPM100034,Soundbox Alerts,Yes,5
BPM100034,Business Reports,Yes,6
BPM100034,Settlement History,No,0
BPM100034,Loan Dashboard,No,0
BPM100034,Rewards,Yes,17
BPM100035,QR Payments,No,0
BPM100035,Soundbox Alerts,Yes,10
BPM100035,Business Reports,Yes,7
BPM100035,Settlement History,Yes,17
BPM100035,Loan Dashboard,Yes,4
BPM100035,Rewards,Yes,18
BPM100036,QR Payments,Yes,24
BPM100036,Soundbox Alerts,Yes,19
BPM100036,Business Reports,Yes,7
BPM100036,Settlement History,Yes,19
BPM100036,Loan Dashboard,Yes,4
BPM100036,Rewards,Yes,12
BPM100037,QR Payments,Yes,23
BPM100037,Soundbox Alerts,Yes,8
BPM100037,Business Reports,Yes,7
BPM100037,Settlement History,Yes,13
BPM100037,Loan Dashboard,Yes,1
BPM100037,Rewards,Yes,10
BPM100038,QR Payments,Yes,16
BPM100038,Soundbox Alerts,Yes,17
BPM100038,Business Reports,Yes,8
BPM100038,Settlement History,Yes,13
BPM100038,Loan Dashboard,Yes,8
BPM100038,Rewards,Yes,20
BPM100039,QR Payments,Yes,29
BPM100039,Soundbox Alerts,Yes,12
BPM100039,Business Reports,Yes,5
BPM100039,Settlement History,Yes,11
BPM100039,Loan Dashboard,Yes,1
BPM100039,Rewards,Yes,20
BPM100040,QR Payments,Yes,16
BPM100040,Soundbox Alerts,Yes,14
BPM100040,Business Reports,Yes,8
BPM100040,Settlement History,Yes,9
BPM100040,Loan Dashboard,Yes,5
BPM100040,Rewards,Yes,11
BPM100041,QR Payments,Yes,19
BPM100041,Soundbox Alerts,No,0
BPM100041,Business Reports,No,0
BPM100041,Settlement History,Yes,11
BPM100041,Loan Dashboard,No,0
BPM100041,Rewards,Yes,13
BPM100042,QR Payments,Yes,18
BPM100042,Soundbox Alerts,Yes,13
BPM100042,Business Reports,Yes,8
BPM100042,Settlement History,Yes,11
BPM100042,Loan Dashboard,Yes,4
BPM100042,Rewards,Yes,13
BPM100043,QR Payments,Yes,16
BPM100043,Soundbox Alerts,Yes,7
BPM100043,Business Reports,Yes,1
BPM100043,Settlement History,Yes,10
BPM100043,Loan Dashboard,Yes,7
BPM100043,Rewards,Yes,17
BPM100044,QR Payments,Yes,27
BPM100044,Soundbox Alerts,Yes,11
BPM100044,Business Reports,Yes,4
BPM100044,Settlement History,Yes,15
BPM100044,Loan Dashboard,Yes,7
BPM100044,Rewards,Yes,7
BPM100045,QR Payments,Yes,25
BPM100045,Soundbox Alerts,Yes,12
BPM100045,Business Reports,Yes,6
BPM100045,Settlement History,Yes,19
BPM100045,Loan Dashboard,No,0
BPM100045,Rewards,No,0
BPM100046,QR Payments,No,0
BPM100046,Soundbox Alerts,Yes,6
BPM100046,Business Reports,Yes,3
BPM100046,Settlement History,Yes,5
BPM100046,Loan Dashboard,No,0
BPM100046,Rewards,Yes,13
BPM100047,QR Payments,Yes,30
BPM100047,Soundbox Alerts,Yes,20
BPM100047,Business Reports,Yes,4
BPM100047,Settlement History,Yes,11
BPM100047,Loan Dashboard,Yes,7
BPM100047,Rewards,Yes,9
BPM100048,QR Payments,No,0
BPM100048,Soundbox Alerts,No,0
BPM100048,Business Reports,Yes,3
BPM100048,Settlement History,No,0
BPM100048,Loan Dashboard,No,0
BPM100048,Rewards,No,0
BPM100049,QR Payments,Yes,16
BPM100049,Soundbox Alerts,Yes,15
BPM100049,Business Reports,Yes,7
BPM100049,Settlement History,Yes,8
BPM100049,Loan Dashboard,Yes,6
BPM100049,Rewards,Yes,19
BPM100050,QR Payments,No,0
BPM100050,Soundbox Alerts,No,0
BPM100050,Business Reports,Yes,1
BPM100050,Settlement History,Yes,17
BPM100050,Loan Dashboard,No,0
BPM100050,Rewards,No,0
BPM100051,QR Payments,No,0
BPM100051,Soundbox Alerts,No,0
BPM100051,Business Reports,No,0
BPM100051,Settlement History,Yes,20
BPM100051,Loan Dashboard,Yes,1
BPM100051,Rewards,Yes,9
BPM100052,QR Payments,Yes,17
BPM100052,Soundbox Alerts,Yes,20
BPM100052,Business Reports,Yes,3
BPM100052,Settlement History,Yes,15
BPM100052,Loan Dashboard,Yes,4
BPM100052,Rewards,Yes,13
BPM100053,QR Payments,Yes,23
BPM100053,Soundbox Alerts,Yes,14
BPM100053,Business Reports,Yes,4
BPM100053,Settlement History,Yes,13
BPM100053,Loan Dashboard,Yes,6
BPM100053,Rewards,Yes,14
BPM100054,QR Payments,Yes,28
BPM100054,Soundbox Alerts,Yes,18
BPM100054,Business Reports,Yes,4
BPM100054,Settlement History,No,0
BPM100054,Loan Dashboard,No,0
BPM100054,Rewards,Yes,17
BPM100055,QR Payments,Yes,28
BPM100055,Soundbox Alerts,Yes,5
BPM100055,Business Reports,Yes,1
BPM100055,Settlement History,Yes,20
BPM100055,Loan Dashboard,Yes,5
BPM100055,Rewards,Yes,11
BPM100056,QR Payments,Yes,18
BPM100056,Soundbox Alerts,Yes,10
BPM100056,Business Reports,Yes,5
BPM100056,Settlement History,Yes,10
BPM100056,Loan Dashboard,Yes,8
BPM100056,Rewards,Yes,13
BPM100057,QR Payments,No,0
BPM100057,Soundbox Alerts,No,0
BPM100057,Business Reports,Yes,1
BPM100057,Settlement History,Yes,6
BPM100057,Loan Dashboard,Yes,4
BPM100057,Rewards,Yes,8
BPM100058,QR Payments,Yes,22
BPM100058,Soundbox Alerts,No,0
BPM100058,Business Reports,No,0
BPM100058,Settlement History,No,0
BPM100058,Loan Dashboard,Yes,4
BPM100058,Rewards,Yes,6
BPM100059,QR Payments,Yes,22
BPM100059,Soundbox Alerts,Yes,9
BPM100059,Business Reports,No,0
BPM100059,Settlement History,Yes,9
BPM100059,Loan Dashboard,No,0
BPM100059,Rewards,Yes,20
BPM100060,QR Payments,Yes,28
BPM100060,Soundbox Alerts,No,0
BPM100060,Business Reports,Yes,1
BPM100060,Settlement History,Yes,11
BPM100060,Loan Dashboard,No,0
BPM100060,Rewards,Yes,19
BPM100061,QR Payments,No,0
BPM100061,Soundbox Alerts,No,0
BPM100061,Business Reports,Yes,1
BPM100061,Settlement History,No,0
BPM100061,Loan Dashboard,Yes,3
BPM100061,Rewards,No,0
BPM100062,QR Payments,No,0
BPM100062,Soundbox Alerts,No,0
BPM100062,Business Reports,No,0
BPM100062,Settlement History,No,0
BPM100062,Loan Dashboard,Yes,3
BPM100062,Rewards,No,0
BPM100063,QR Payments,Yes,26
BPM100063,Soundbox Alerts,Yes,11
BPM100063,Business Reports,No,0
BPM100063,Settlement History,No,0
BPM100063,Loan Dashboard,No,0
BPM100063,Rewards,Yes,8
BPM100064,QR Payments,No,0
BPM100064,Soundbox Alerts,Yes,12
BPM100064,Business Reports,Yes,1
BPM100064,Settlement History,Yes,11
BPM100064,Loan Dashboard,Yes,7
BPM100064,Rewards,Yes,18
BPM100065,QR Payments,No,0
BPM100065,Soundbox Alerts,No,0
BPM100065,Business Reports,No,0
BPM100065,Settlement History,No,0
BPM100065,Loan Dashboard,Yes,6
BPM100065,Rewards,No,0
BPM100066,QR Payments,No,0
BPM100066,Soundbox Alerts,Yes,7
BPM100066,Business Reports,Yes,5
BPM100066,Settlement History,Yes,5
BPM100066,Loan Dashboard,Yes,2
BPM100066,Rewards,No,0
BPM100067,QR Payments,Yes,17
BPM100067,Soundbox Alerts,No,0
BPM100067,Business Reports,Yes,7
BPM100067,Settlement History,No,0
BPM100067,Loan Dashboard,Yes,4
BPM100067,Rewards,No,0
BPM100068,QR Payments,No,0
BPM100068,Soundbox Alerts,Yes,17
BPM100068,Business Reports,Yes,3
BPM100068,Settlement History,Yes,20
BPM100068,Loan Dashboard,Yes,6
BPM100068,Rewards,Yes,11
BPM100069,QR Payments,No,0
BPM100069,Soundbox Alerts,Yes,8
BPM100069,Business Reports,Yes,7
BPM100069,Settlement History,Yes,10
BPM100069,Loan Dashboard,No,0
BPM100069,Rewards,Yes,17
BPM100070,QR Payments,Yes,25
BPM100070,Soundbox Alerts,Yes,6
BPM100070,Business Reports,Yes,2
BPM100070,Settlement History,Yes,7
BPM100070,Loan Dashboard,Yes,2
BPM100070,Rewards,Yes,18
BPM100071,QR Payments,No,0
BPM100071,Soundbox Alerts,Yes,11
BPM100071,Business Reports,Yes,8
BPM100071,Settlement History,No,0
BPM100071,Loan Dashboard,Yes,7
BPM100071,Rewards,Yes,7
BPM100072,QR Payments,Yes,29
BPM100072,Soundbox Alerts,No,0
BPM100072,Business Reports,Yes,1
BPM100072,Settlement History,Yes,20
BPM100072,Loan Dashboard,Yes,2
BPM100072,Rewards,Yes,9
BPM100073,QR Payments,No,0
BPM100073,Soundbox Alerts,No,0
BPM100073,Business Reports,No,0
BPM100073,Settlement History,No,0
BPM100073,Loan Dashboard,Yes,4
BPM100073,Rewards,No,0
BPM100074,QR Payments,Yes,15
BPM100074,Soundbox Alerts,Yes,5
BPM100074,Business Reports,Yes,8
BPM100074,Settlement History,Yes,8
BPM100074,Loan Dashboard,Yes,4
BPM100074,Rewards,Yes,7
BPM100075,QR Payments,Yes,26
BPM100075,Soundbox Alerts,No,0
BPM100075,Business Reports,No,0
BPM100075,Settlement History,Yes,11
BPM100075,Loan Dashboard,Yes,3
BPM100075,Rewards,No,0
BPM100076,QR Payments,Yes,30
BPM100076,Soundbox Alerts,Yes,15
BPM100076,Business Reports,Yes,6
BPM100076,Settlement History,Yes,10
BPM100076,Loan Dashboard,Yes,3
BPM100076,Rewards,No,0
BPM100077,QR Payments,Yes,28
BPM100077,Soundbox Alerts,Yes,6
BPM100077,Business Reports,Yes,5
BPM100077,Settlement History,No,0
BPM100077,Loan Dashboard,Yes,7
BPM100077,Rewards,Yes,7
BPM100078,QR Payments,Yes,16
BPM100078,Soundbox Alerts,Yes,12
BPM100078,Business Reports,Yes,2
BPM100078,Settlement History,No,0
BPM100078,Loan Dashboard,Yes,6
BPM100078,Rewards,Yes,13
BPM100079,QR Payments,Yes,25
BPM100079,Soundbox Alerts,No,0
BPM100079,Business Reports,Yes,4
BPM100079,Settlement History,No,0
BPM100079,Loan Dashboard,No,0
BPM100079,Rewards,Yes,14
BPM100080,QR Payments,No,0
BPM100080,Soundbox Alerts,Yes,10
BPM100080,Business Reports,No,0
BPM100080,Settlement History,Yes,6
BPM100080,Loan Dashboard,Yes,2
BPM100080,Rewards,No,0
BPM100081,QR Payments,No,0
BPM100081,Soundbox Alerts,No,0
BPM100081,Business Reports,Yes,3
BPM100081,Settlement History,No,0
BPM100081,Loan Dashboard,Yes,8
BPM100081,Rewards,No,0
BPM100082,QR Payments,Yes,18
BPM100082,Soundbox Alerts,No,0
BPM100082,Business Reports,No,0
BPM100082,Settlement History,No,0
BPM100082,Loan Dashboard,No,0
BPM100082,Rewards,No,0
BPM100083,QR Payments,No,0
BPM100083,Soundbox Alerts,Yes,12
BPM100083,Business Reports,Yes,7
BPM100083,Settlement History,Yes,9
BPM100083,Loan Dashboard,Yes,3
BPM100083,Rewards,Yes,16
BPM100084,QR Payments,No,0
BPM100084,Soundbox Alerts,No,0
BPM100084,Business Reports,No,0
BPM100084,Settlement History,No,0
BPM100084,Loan Dashboard,Yes,4
BPM100084,Rewards,No,0
BPM100085,QR Payments,No,0
BPM100085,Soundbox Alerts,Yes,7
BPM100085,Business Reports,Yes,6
BPM100085,Settlement History,Yes,9
BPM100085,Loan Dashboard,Yes,5
BPM100085,Rewards,No,0
BPM100086,QR Payments,Yes,19
BPM100086,Soundbox Alerts,Yes,8
BPM100086,Business Reports,Yes,8
BPM100086,Settlement History,Yes,12
BPM100086,Loan Dashboard,Yes,3
BPM100086,Rewards,Yes,6
BPM100087,QR Payments,No,0
BPM100087,Soundbox Alerts,Yes,14
BPM100087,Business Reports,Yes,6
BPM100087,Settlement History,Yes,5
BPM100087,Loan Dashboard,No,0
BPM100087,Rewards,Yes,6
BPM100088,QR Payments,Yes,15
BPM100088,Soundbox Alerts,Yes,9
BPM100088,Business Reports,Yes,8
BPM100088,Settlement History,Yes,18
BPM100088,Loan Dashboard,Yes,8
BPM100088,Rewards,No,0
BPM100089,QR Payments,Yes,30
BPM100089,Soundbox Alerts,Yes,20
BPM100089,Business Reports,Yes,8
BPM100089,Settlement History,Yes,8
BPM100089,Loan Dashboard,No,0
BPM100089,Rewards,No,0
BPM100090,QR Payments,No,0
BPM100090,Soundbox Alerts,Yes,10
BPM100090,Business Reports,Yes,5
BPM100090,Settlement History,No,0
BPM100090,Loan Dashboard,Yes,6
BPM100090,Rewards,No,0
BPM100091,QR Payments,No,0
BPM100091,Soundbox Alerts,Yes,5
BPM100091,Business Reports,Yes,2
BPM100091,Settlement History,No,0
BPM100091,Loan Dashboard,Yes,5
BPM100091,Rewards,No,0
BPM100092,QR Payments,Yes,23
BPM100092,Soundbox Alerts,Yes,19
BPM100092,Business Reports,No,0
BPM100092,Settlement History,No,0
BPM100092,Loan Dashboard,Yes,1
BPM100092,Rewards,No,0
BPM100093,QR Payments,Yes,25
BPM100093,Soundbox Alerts,No,0
BPM100093,Business Reports,No,0
BPM100093,Settlement History,No,0
BPM100093,Loan Dashboard,No,0
BPM100093,Rewards,No,0
BPM100094,QR Payments,No,0
BPM100094,Soundbox Alerts,Yes,18
BPM100094,Business Reports,Yes,2
BPM100094,Settlement History,Yes,5
BPM100094,Loan Dashboard,Yes,6
BPM100094,Rewards,No,0
BPM100095,QR Payments,No,0
BPM100095,Soundbox Alerts,Yes,9
BPM100095,Business Reports,No,0
BPM100095,Settlement History,No,0
BPM100095,Loan Dashboard,No,0
BPM100095,Rewards,No,0
BPM100096,QR Payments,Yes,24
BPM100096,Soundbox Alerts,Yes,15
BPM100096,Business Reports,Yes,2
BPM100096,Settlement History,No,0
BPM100096,Loan Dashboard,Yes,6
BPM100096,Rewards,Yes,16
BPM100097,QR Payments,Yes,17
BPM100097,Soundbox Alerts,No,0
BPM100097,Business Reports,No,0
BPM100097,Settlement History,Yes,6
BPM100097,Loan Dashboard,Yes,5
BPM100097,Rewards,No,0
BPM100098,QR Payments,Yes,26
BPM100098,Soundbox Alerts,No,0
BPM100098,Business Reports,No,0
BPM100098,Settlement History,Yes,15
BPM100098,Loan Dashboard,Yes,2
BPM100098,Rewards,No,0
BPM100099,QR Payments,Yes,27
BPM100099,Soundbox Alerts,Yes,14
BPM100099,Business Reports,No,0
BPM100099,Settlement History,No,0
BPM100099,Loan Dashboard,No,0
BPM100099,Rewards,Yes,11
BPM100100,QR Payments,Yes,28
BPM100100,Soundbox Alerts,Yes,8
BPM100100,Business Reports,Yes,8
BPM100100,Settlement History,Yes,13
BPM100100,Loan Dashboard,Yes,6
BPM100100,Rewards,Yes,18
BPM100101,QR Payments,Yes,15
BPM100101,Soundbox Alerts,Yes,16
BPM100101,Business Reports,Yes,8
BPM100101,Settlement History,Yes,13
BPM100101,Loan Dashboard,Yes,5
BPM100101,Rewards,Yes,19
BPM100102,QR Payments,No,0
BPM100102,Soundbox Alerts,No,0
BPM100102,Business Reports,No,0
BPM100102,Settlement History,No,0
BPM100102,Loan Dashboard,No,0
BPM100102,Rewards,Yes,19
BPM100103,QR Payments,Yes,16
BPM100103,Soundbox Alerts,Yes,12
BPM100103,Business Reports,Yes,5
BPM100103,Settlement History,Yes,20
BPM100103,Loan Dashboard,Yes,4
BPM100103,Rewards,Yes,17
BPM100104,QR Payments,Yes,29
BPM100104,Soundbox Alerts,Yes,17
BPM100104,Business Reports,No,0
BPM100104,Settlement History,No,0
BPM100104,Loan Dashboard,Yes,5
BPM100104,Rewards,Yes,18
BPM100105,QR Payments,No,0
BPM100105,Soundbox Alerts,Yes,19
BPM100105,Business Reports,No,0
BPM100105,Settlement History,No,0
BPM100105,Loan Dashboard,Yes,2
BPM100105,Rewards,Yes,9
BPM100106,QR Payments,Yes,16
BPM100106,Soundbox Alerts,Yes,8
BPM100106,Business Reports,Yes,6
BPM100106,Settlement History,Yes,11
BPM100106,Loan Dashboard,No,0
BPM100106,Rewards,No,0
BPM100107,QR Payments,No,0
BPM100107,Soundbox Alerts,Yes,13
BPM100107,Business Reports,Yes,4
BPM100107,Settlement History,No,0
BPM100107,Loan Dashboard,No,0
BPM100107,Rewards,Yes,13
BPM100108,QR Payments,Yes,27
BPM100108,Soundbox Alerts,Yes,12
BPM100108,Business Reports,Yes,7
BPM100108,Settlement History,No,0
BPM100108,Loan Dashboard,No,0
BPM100108,Rewards,Yes,13
BPM100109,QR Payments,No,0
BPM100109,Soundbox Alerts,Yes,19
BPM100109,Business Reports,Yes,5
BPM100109,Settlement History,No,0
BPM100109,Loan Dashboard,No,0
BPM100109,Rewards,Yes,5
BPM100110,QR Payments,Yes,24
BPM100110,Soundbox Alerts,Yes,6
BPM100110,Business Reports,Yes,1
BPM100110,Settlement History,Yes,12
BPM100110,Loan Dashboard,No,0
BPM100110,Rewards,Yes,13
BPM100111,QR Payments,Yes,18
BPM100111,Soundbox Alerts,Yes,17
BPM100111,Business Reports,No,0
BPM100111,Settlement History,Yes,16
BPM100111,Loan Dashboard,Yes,1
BPM100111,Rewards,Yes,5
BPM100112,QR Payments,Yes,30
BPM100112,Soundbox Alerts,Yes,14
BPM100112,Business Reports,Yes,6
BPM100112,Settlement History,Yes,19
BPM100112,Loan Dashboard,Yes,6
BPM100112,Rewards,Yes,16
BPM100113,QR Payments,No,0
BPM100113,Soundbox Alerts,Yes,13
BPM100113,Business Reports,No,0
BPM100113,Settlement History,No,0
BPM100113,Loan Dashboard,No,0
BPM100113,Rewards,Yes,20
BPM100114,QR Payments,Yes,21
BPM100114,Soundbox Alerts,Yes,19
BPM100114,Business Reports,Yes,3
BPM100114,Settlement History,No,0
BPM100114,Loan Dashboard,No,0
BPM100114,Rewards,No,0
BPM100115,QR Payments,Yes,21
BPM100115,Soundbox Alerts,Yes,17
BPM100115,Business Reports,Yes,6
BPM100115,Settlement History,Yes,17
BPM100115,Loan Dashboard,Yes,5
BPM100115,Rewards,Yes,19
BPM100116,QR Payments,No,0
BPM100116,Soundbox Alerts,No,0
BPM100116,Business Reports,Yes,6
BPM100116,Settlement History,Yes,6
BPM100116,Loan Dashboard,No,0
BPM100116,Rewards,Yes,16
BPM100117,QR Payments,Yes,17
BPM100117,Soundbox Alerts,Yes,17
BPM100117,Business Reports,No,0
BPM100117,Settlement History,No,0
BPM100117,Loan Dashboard,No,0
BPM100117,Rewards,Yes,9
BPM100118,QR Payments,Yes,23
BPM100118,Soundbox Alerts,Yes,7
BPM100118,Business Reports,No,0
BPM100118,Settlement History,No,0
BPM100118,Loan Dashboard,Yes,4
BPM100118,Rewards,No,0
BPM100119,QR Payments,No,0
BPM100119,Soundbox Alerts,Yes,7
BPM100119,Business Reports,Yes,4
BPM100119,Settlement History,Yes,13
BPM100119,Loan Dashboard,Yes,1
BPM100119,Rewards,Yes,17
BPM100120,QR Payments,No,0
BPM100120,Soundbox Alerts,No,0
BPM100120,Business Reports,Yes,1
BPM100120,Settlement History,No,0
BPM100120,Loan Dashboard,No,0
BPM100120,Rewards,No,0
BPM100121,QR Payments,No,0
BPM100121,Soundbox Alerts,Yes,12
BPM100121,Business Reports,Yes,6
BPM100121,Settlement History,Yes,19
BPM100121,Loan Dashboard,Yes,1
BPM100121,Rewards,No,0
BPM100122,QR Payments,Yes,23
BPM100122,Soundbox Alerts,Yes,19
BPM100122,Business Reports,Yes,6
BPM100122,Settlement History,No,0
BPM100122,Loan Dashboard,Yes,6
BPM100122,Rewards,No,0
BPM100123,QR Payments,Yes,24
BPM100123,Soundbox Alerts,Yes,7
BPM100123,Business Reports,Yes,6
BPM100123,Settlement History,No,0
BPM100123,Loan Dashboard,Yes,6
BPM100123,Rewards,Yes,8
BPM100124,QR Payments,Yes,30
BPM100124,Soundbox Alerts,Yes,8
BPM100124,Business Reports,Yes,6
BPM100124,Settlement History,Yes,12
BPM100124,Loan Dashboard,Yes,3
BPM100124,Rewards,Yes,7
BPM100125,QR Payments,Yes,27
BPM100125,Soundbox Alerts,Yes,19
BPM100125,Business Reports,No,0
BPM100125,Settlement History,Yes,5
BPM100125,Loan Dashboard,Yes,6
BPM100125,Rewards,Yes,17
BPM100126,QR Payments,Yes,27
BPM100126,Soundbox Alerts,Yes,14
BPM100126,Business Reports,No,0
BPM100126,Settlement History,Yes,20
BPM100126,Loan Dashboard,No,0
