interaction_id,merchant_id,date,category,issue,channel,resolution_status,resolution_time_days
INT484420,BPM100024,2025-03-28,Product,Device Replacement,In-App,Escalated,14.0
INT314649,BPM100025,2025-05-04,Technical,App Crash,Field Agent,Resolved,3.0
INT703889,BPM100025,2025-04-12,Financial,Loan Inquiry,Email,Resolved,1.0
INT601327,BPM100026,2025-04-29,Financial,Settlement Delay,Email,Escalated,18.0
INT757502,BPM100026,2025-03-09,Financial,Refund Request,Phone,Resolved,3.0
INT383715,BPM100027,2025-03-03,Account,Password Reset,Email,Pending,15.0
INT865345,BPM100027,2025-03-22,Technical,App Crash,WhatsApp,Resolved,4.0
INT606095,BPM100027,2025-04-21,Account,Account Update,In-App,Pending,6.0
INT980449,BPM100028,2025-03-17,Technical,Payment Failed,Field Agent,Pending,4.0
INT501048,BPM100028,2025-04-29,Financial,Loan Inquiry,WhatsApp,Resolved,5.0
INT590766,BPM100028,2025-04-02,Product,Device Replacement,WhatsApp,Resolved,1.0
INT368821,BPM100028,2025-04-20,Financial,Settlement Delay,Email,Pending,7.0
INT763093,BPM100029,2025-02-28,Account,Password Reset,Field Agent,Pending,8.0
INT295931,BPM100030,2025-03-13,Product,Pricing Query,Email,Resolved,3.0
INT849628,BPM100034,2025-03-27,Financial,Settlement Delay,Phone,Pending,6.0
INT826527,BPM100034,2025-05-03,Technical,Payment Failed,Phone,Resolved,0.0
INT724922,BPM100034,2025-02-21,Account,Bank Account Change,In-App,Resolved,0.0
INT512600,BPM100035,2025-04-10,Financial,Transaction Dispute,Phone,Pending,13.0
INT877461,BPM100035,2025-04-24,Product,New Product Inquiry,Field Agent,Escalated,7.0
INT937824,BPM100035,2025-03-09,Product,Device Replacement,WhatsApp,Resolved,3.0
INT588328,BPM100036,2025-03-15,Account,KYC Verification,Field Agent,Pending,10.0
INT428675,BPM100037,2025-03-12,Account,KYC Verification,Field Agent,Pending,13.0
INT823244,BPM100038,2025-03-12,Account,Account Update,WhatsApp,Resolved,5.0
INT938044,BPM100038,2025-04-07,Technical,App Crash,Field Agent,Pending,10.0
INT192296,BPM100039,2025-05-11,Financial,Transaction Dispute,WhatsApp,Escalated,8.0
INT753680,BPM100039,2025-05-02,Financial,Settlement Delay,In-App,Resolved,4.0
INT414770,BPM100039,2025-04-28,Account,Password Reset,Phone,Resolved,2.0
INT725758,BPM100041,2025-05-02,Account,KYC Verification,WhatsApp,Resolved,5.0
INT263223,BPM100041,2025-03-12,Technical,App Crash,Field Agent,Escalated,17.0
INT244870,BPM100041,2025-05-06,Technical,Payment Failed,Field Agent,Resolved,5.0
INT319347,BPM100044,2025-04-02,Account,Account Update,Field Agent,Pending,5.0
INT555734,BPM100045,2025-05-11,Financial,Settlement Delay,Phone,Escalated,15.0
INT344743,BPM100047,2025-04-09,Technical,QR Code Not Working,Field Agent,Pending,3.0
INT874831,BPM100048,2025-05-16,Technical,QR Code Not Working,Email,Resolved,5.0
INT622131,BPM100048,2025-04-28,Financial,Settlement Delay,WhatsApp,Pending,4.0
INT263399,BPM100049,2025-05-12,Technical,Payment Failed,WhatsApp,Resolved,4.0
INT455630,BPM100050,2025-03-11,Technical,App Crash,Phone,Resolved,4.0
INT877359,BPM100050,2025-02-24,Account,Bank Account Change,Phone,Resolved,3.0
INT349794,BPM100050,2025-03-09,Financial,Loan Inquiry,Field Agent,Pending,10.0
INT665455,BPM100051,2025-04-26,Product,Device Replacement,Phone,Resolved,1.0
INT251045,BPM100052,2025-05-05,Technical,Soundbox Issues,Phone,Resolved,1.0
INT141982,BPM100052,2025-04-27,Technical,QR Code Not Working,Email,Escalated,7.0
INT337184,BPM100052,2025-03-30,Technical,Soundbox Issues,Phone,Resolved,4.0
INT253635,BPM100053,2025-02-19,Product,Device Replacement,In-App,Resolved,3.0
INT297850,BPM100053,2025-03-24,Account,Password Reset,Phone,Pending,3.0
INT677073,BPM100054,2025-02-25,Financial,Loan Inquiry,Field Agent,Resolved,4.0
INT603886,BPM100054,2025-05-03,Product,Pricing Query,Email,Pending,10.0
INT231085,BPM100055,2025-04-28,Product,Feature Request,In-App,Resolved,1.0
INT345900,BPM100055,2025-05-12,Product,Device Replacement,WhatsApp,Resolved,5.0
INT703020,BPM100055,2025-04-11,Account,KYC Verification,Email,Resolved,5.0
INT394472,BPM100057,2025-03-06,Financial,Refund Request,Field Agent,Pending,6.0
INT615164,BPM100057,2025-02-25,Account,Account Update,In-App,Escalated,14.0
INT619468,BPM100058,2025-04-04,Account,Password Reset,In-App,Resolved,5.0
INT154591,BPM100058,2025-03-08,Product,Pricing Query,Field Agent,Resolved,5.0
INT760581,BPM100059,2025-03-23,Account,Bank Account Change,Email,Resolved,3.0
INT366750,BPM100059,2025-04-18,Account,Bank Account Change,Email,Pending,15.0
INT540789,BPM100059,2025-04-01,Technical,Login Issues,Phone,Pending,4.0
INT713718,BPM100061,2025-03-15,Account,Bank Account Change,Email,Resolved,5.0
INT843372,BPM100061,2025-03-04,Product,Pricing Query,In-App,Resolved,2.0
INT516126,BPM100061,2025-02-28,Account,Account Update,Email,Customer Dropout,
INT594869,BPM100061,2025-03-02,Financial,Loan Inquiry,WhatsApp,Resolved,0.0
INT340210,BPM100061,2025-02-28,Technical,QR Code Not Working,Phone,Customer Dropout,
INT732949,BPM100062,2025-04-19,Financial,Refund Request,In-App,Resolved,4.0
INT697820,BPM100062,2025-05-04,Product,Feature Request,Email,Pending,13.0
INT970165,BPM100062,2025-03-03,Financial,Settlement Delay,Email,Pending,9.0
INT906187,BPM100063,2025-04-12,Financial,Refund Request,Phone,Resolved,1.0
INT702439,BPM100063,2025-02-28,Product,Device Replacement,Email,Pending,7.0
INT629743,BPM100064,2025-03-26,Financial,Transaction Dispute,In-App,Resolved,2.0
INT582516,BPM100064,2025-04-02,Product,Pricing Query,WhatsApp,Pending,3.0
INT379774,BPM100065,2025-04-02,Financial,Refund Request,Email,Resolved,4.0
INT874905,BPM100065,2025-04-26,Technical,Login Issues,Email,Resolved,0.0
INT894968,BPM100065,2025-04-28,Financial,Transaction Dispute,Phone,Customer Dropout,
INT593683,BPM100065,2025-02-21,Financial,Loan Inquiry,In-App,Pending,5.0
INT370052,BPM100066,2025-03-15,Product,Device Replacement,Phone,Resolved,0.0
INT794929,BPM100066,2025-04-26,Account,KYC Verification,WhatsApp,Resolved,5.0
INT635424,BPM100067,2025-03-25,Product,Device Replacement,Email,Escalated,20.0
INT881778,BPM100067,2025-03-25,Product,Pricing Query,Field Agent,Resolved,2.0
INT240371,BPM100067,2025-05-12,Financial,Loan Inquiry,Field Agent,Resolved,2.0
INT357356,BPM100068,2025-03-14,Product,Device Replacement,Phone,Resolved,0.0
INT313154,BPM100068,2025-05-15,Technical,App Crash,Field Agent,Resolved,5.0
INT319644,BPM100068,2025-04-02,Product,Device Replacement,Email,Resolved,4.0
INT742713,BPM100070,2025-03-09,Product,Device Replacement,Field Agent,Escalated,13.0
INT771699,BPM100071,2025-05-07,Account,Account Update,In-App,Pending,4.0
INT620428,BPM100073,2025-04-04,Product,Pricing Query,Field Agent,Resolved,4.0
INT663941,BPM100073,2025-04-20,Financial,Loan Inquiry,Email,Customer Dropout,
INT228009,BPM100073,2025-04-30,Account,KYC Verification,Phone,Pending,9.0
INT890483,BPM100074,2025-02-20,Technical,Soundbox Issues,WhatsApp,Resolved,2.0
INT400924,BPM100075,2025-05-16,Account,Account Update,Email,Resolved,5.0
INT760517,BPM100075,2025-04-27,Financial,Transaction Dispute,In-App,Resolved,4.0
INT170219,BPM100076,2025-04-19,Product,Feature Request,Email,Escalated,19.0
INT450993,BPM100076,2025-04-21,Account,Account Update,In-App,Resolved,1.0
INT765190,BPM100077,2025-03-10,Technical,Payment Failed,Field Agent,Resolved,0.0
INT345268,BPM100078,2025-03-09,Product,Device Replacement,Email,Pending,9.0
INT997788,BPM100078,2025-04-26,Product,New Product Inquiry,In-App,Resolved,4.0
INT440152,BPM100079,2025-02-24,Financial,Settlement Delay,In-App,Resolved,1.0
INT256009,BPM100079,2025-03-02,Financial,Settlement Delay,Email,Resolved,0.0
INT372945,BPM100079,2025-03-13,Product,Feature Request,WhatsApp,Resolved,1.0
INT388268,BPM100080,2025-04-15,Financial,Refund Request,In-App,Resolved,4.0
INT590377,BPM100080,2025-04-06,Product,Device Replacement,In-App,Resolved,0.0
INT808918,BPM100080,2025-05-16,Product,Feature Request,In-App,Pending,15.0
INT959043,BPM100081,2025-01-12,Technical,QR Code Not Working,In-App,Pending,8.0
INT231823,BPM100081,2025-01-09,Account,Account Update,Email,Pending,14.0
INT178948,BPM100081,2025-01-10,Financial,Refund Request,Field Agent,Customer Dropout,
INT628300,BPM100082,2024-12-28,Technical,App Crash,Field Agent,Pending,11.0
INT276160,BPM100082,2025-01-08,Technical,Soundbox Issues,In-App,Resolved,4.0
INT536121,BPM100083,2025-03-07,Financial,Loan Inquiry,Phone,Pending,8.0
INT393096,BPM100083,2025-03-06,Product,Pricing Query,Email,Resolved,3.0
INT893132,BPM100083,2025-02-21,Product,Feature Request,Phone,Resolved,4.0
INT349428,BPM100084,2025-04-05,Financial,Transaction Dispute,Field Agent,Resolved,0.0
INT513409,BPM100085,2025-04-25,Account,Password Reset,In-App,Pending,5.0
INT290635,BPM100087,2025-03-16,Technical,Payment Failed,In-App,Resolved,1.0
INT196348,BPM100088,2025-03-22,Technical,App Crash,Phone,Resolved,0.0
INT922121,BPM100088,2025-05-12,Product,Device Replacement,Phone,Resolved,3.0
INT116769,BPM100089,2025-04-12,Product,Device Replacement,Phone,Resolved,5.0
INT446542,BPM100089,2025-02-19,Product,Feature Request,Field Agent,Resolved,3.0
INT851820,BPM100089,2025-04-09,Account,Account Update,Field Agent,Resolved,1.0
INT714780,BPM100091,2025-03-05,Technical,Payment Failed,Phone,Resolved,1.0
INT290145,BPM100091,2025-03-22,Account,Bank Account Change,Phone,Resolved,0.0
INT513786,BPM100092,2025-03-15,Account,Password Reset,WhatsApp,Pending,11.0
INT542784,BPM100092,2025-02-22,Financial,Refund Request,Phone,Resolved,2.0
INT163588,BPM100092,2025-02-24,Product,New Product Inquiry,In-App,Resolved,3.0
INT834411,BPM100093,2025-05-01,Financial,Loan Inquiry,Email,Pending,6.0
INT976721,BPM100093,2025-03-24,Technical,Soundbox Issues,In-App,Resolved,2.0
INT249900,BPM100094,2025-05-17,Product,Feature Request,Email,Resolved,3.0
INT857223,BPM100094,2025-04-17,Product,Feature Request,WhatsApp,Resolved,5.0
INT781694,BPM100094,2025-04-19,Technical,Soundbox Issues,Phone,Resolved,4.0
INT503933,BPM100095,2025-04-21,Financial,Transaction Dispute,WhatsApp,Resolved,0.0
INT557731,BPM100095,2025-05-09,Product,Feature Request,In-App,Escalated,19.0
INT301912,BPM100096,2025-02-18,Product,New Product Inquiry,Email,Pending,7.0
INT819190,BPM100096,2025-04-23,Account,Password Reset,Phone,Resolved,3.0
INT803171,BPM100096,2025-03-12,Financial,Settlement Delay,In-App,Resolved,0.0
INT255427,BPM100097,2025-03-08,Account,KYC Verification,Field Agent,Resolved,5.0
INT291512,BPM100097,2025-04-20,Product,Pricing Query,In-App,Resolved,1.0
INT647567,BPM100098,2025-03-14,Account,Password Reset,Field Agent,Resolved,5.0
INT795055,BPM100099,2025-02-20,Financial,Transaction Dispute,WhatsApp,Escalated,9.0
INT466781,BPM100099,2025-02-28,Technical,Payment Failed,Phone,Resolved,4.0
INT972132,BPM100099,2025-04-13,Account,Bank Account Change,Field Agent,Resolved,1.0
INT369799,BPM100101,2025-05-11,Technical,Soundbox Issues,Phone,Escalated,12.0
INT609317,BPM100102,2025-02-25,Technical,Payment Failed,Email,Pending,3.0
INT956669,BPM100103,2025-04-24,Account,KYC Verification,In-App,Resolved,3.0
INT518808,BPM100103,2025-04-01,Financial,Transaction Dispute,In-App,Resolved,3.0
INT965959,BPM100104,2025-03-12,Product,Feature Request,Field Agent,Pending,12.0
INT630552,BPM100104,2025-02-28,Product,New Product Inquiry,WhatsApp,Resolved,0.0
INT443956,BPM100105,2025-04-18,Financial,Transaction Dispute,Email,Resolved,0.0
INT384811,BPM100107,2025-05-02,Product,New Product Inquiry,Field Agent,Resolved,5.0
INT100503,BPM100107,2025-05-16,Technical,Payment Failed,In-App,Escalated,11.0
INT426577,BPM100107,2025-02-21,Product,New Product Inquiry,In-App,Pending,3.0
INT919023,BPM100108,2025-04-28,Technical,QR Code Not Working,In-App,Resolved,5.0
INT894676,BPM100108,2025-05-17,Product,Device Replacement,Field Agent,Resolved,1.0
INT175127,BPM100108,2025-02-26,Account,KYC Verification,Email,Resolved,0.0
INT390269,BPM100109,2025-03-06,Account,Password Reset,Phone,Resolved,1.0
INT812211,BPM100109,2025-03-12,Financial,Loan Inquiry,In-App,Resolved,1.0
INT708150,BPM100110,2025-03-12,Account,Password Reset,Field Agent,Resolved,0.0
INT889007,BPM100110,2025-05-19,Account,KYC Verification,In-App,Escalated,15.0
INT205679,BPM100111,2025-03-26,Product,New Product Inquiry,In-App,Escalated,17.0
INT120719,BPM100112,2025-02-25,Financial,Loan Inquiry,In-App,Resolved,2.0
INT463587,BPM100112,2025-02-19,Account,Account Update,Field Agent,Resolved,0.0
INT554790,BPM100113,2025-03-27,Technical,QR Code Not Working,WhatsApp,Escalated,12.0
INT980805,BPM100113,2025-04-14,Technical,Soundbox Issues,Field Agent,Resolved,3.0
INT289815,BPM100113,2025-04-15,Technical,Payment Failed,Field Agent,Customer Dropout,
INT787820,BPM100113,2025-03-27,Account,Password Reset,In-App,Customer Dropout,
INT366459,BPM100114,2025-04-27,Financial,Transaction Dispute,WhatsApp,Resolved,1.0
INT952767,BPM100114,2025-04-24,Product,Feature Request,Phone,Escalated,18.0
INT480626,BPM100114,2025-03-29,Product,Feature Request,Email,Resolved,2.0
INT920975,BPM100115,2025-03-18,Product,New Product Inquiry,Field Agent,Resolved,0.0
INT807518,BPM100116,2025-03-04,Account,Password Reset,In-App,Resolved,0.0
INT449206,BPM100116,2025-03-28,Technical,Payment Failed,Phone,Resolved,1.0
INT535860,BPM100117,2025-04-26,Financial,Settlement Delay,WhatsApp,Pending,10.0
INT710883,BPM100117,2025-03-07,Product,New Product Inquiry,Field Agent,Resolved,5.0
INT852503,BPM100117,2025-05-03,Technical,Payment Failed,Phone,Customer Dropout,
INT945618,BPM100117,2025-05-04,Account,KYC Verification,WhatsApp,Pending,6.0
INT924488,BPM100118,2025-05-07,Account,Bank Account Change,WhatsApp,Pending,14.0
INT328628,BPM100118,2025-03-14,Product,Pricing Query,Phone,Escalated,16.0
INT943627,BPM100118,2025-03-23,Financial,Loan Inquiry,Email,Escalated,14.0
INT643629,BPM100119,2025-05-16,Product,Device Replacement,WhatsApp,Resolved,3.0
INT737918,BPM100119,2025-04-02,Technical,Login Issues,Email,Resolved,3.0
INT664741,BPM100119,2025-04-03,Financial,Transaction Dispute,WhatsApp,Resolved,1.0
INT839023,BPM100120,2024-12-31,Account,Bank Account Change,Phone,Customer Dropout,
INT912124,BPM100120,2024-12-18,Financial,Loan Inquiry,In-App,Customer Dropout,
INT620456,BPM100120,2024-12-29,Account,Password Reset,Field Agent,Escalated,16.0
INT471177,BPM100120,2024-12-24,Technical,Soundbox Issues,In-App,Escalated,15.0
INT570431,BPM100120,2024-12-26,Financial,Transaction Dispute,In-App,Escalated,12.0
INT411765,BPM100122,2025-02-27,Technical,App Crash,WhatsApp,Resolved,2.0
INT179635,BPM100122,2025-03-30,Financial,Loan Inquiry,Phone,Resolved,5.0
INT143457,BPM100122,2025-04-30,Product,Pricing Query,Phone,Resolved,1.0
INT883259,BPM100123,2025-03-24,Product,Device Replacement,Email,Escalated,9.0
INT478408,BPM100124,2025-02-26,Account,KYC Verification,Field Agent,Resolved,4.0
INT593628,BPM100124,2025-03-21,Technical,Soundbox Issues,Phone,Resolved,3.0
INT946942,BPM100124,2025-02-26,Account,KYC Verification,Email,Resolved,2.0
INT482577,BPM100125,2025-05-05,Account,Password Reset,WhatsApp,Escalated,16.0
INT164075,BPM100125,2025-03-16,Product,Feature Request,WhatsApp,Resolved,1.0
INT223762,BPM100127,2025-03-02,Account,KYC Verification,Field Agent,Resolved,1.0
INT397884,BPM100127,2025-05-13,Product,Feature Request,Phone,Escalated,14.0
INT183435,BPM100127,2025-04-17,Account,KYC Verification,Phone,Resolved,4.0
INT347672,BPM100128,2025-03-04,Technical,App Crash,Field Agent,Resolved,5.0
INT588974,BPM100128,2025-05-11,Product,Device Replacement,WhatsApp,Resolved,2.0
INT441489,BPM100128,2025-03-05,Product,Pricing Query,In-App,Resolved,4.0
INT367207,BPM100130,2025-05-06,Product,Feature Request,Phone,Pending,3.0
INT402867,BPM100131,2025-03-10,Technical,Soundbox Issues,WhatsApp,Resolved,4.0
INT969206,BPM100131,2025-02-22,Account,Bank Account Change,In-App,Escalated,9.0
INT639985,BPM100132,2025-02-21,Account,Account Update,Email,Escalated,8.0
INT270049,BPM100132,2025-03-18,Financial,Refund Request,Email,Resolved,4.0
INT138653,BPM100132,2025-04-18,Account,Password Reset,Phone,Resolved,1.0
INT683040,BPM100133,2025-03-24,Account,Bank Account Change,Field Agent,Resolved,2.0
INT103613,BPM100134,2025-03-01,Product,Feature Request,Email,Escalated,14.0
INT552010,BPM100134,2025-05-12,Product,Device Replacement,In-App,Escalated,16.0
INT469512,BPM100134,2025-03-25,Technical,QR Code Not Working,Email,Resolved,1.0
INT423313,BPM100135,2025-04-26,Account,KYC Verification,Email,Escalated,13.0
INT781133,BPM100136,2025-04-27,Technical,App Crash,Email,Resolved,5.0
INT280043,BPM100138,2025-04-18,Technical,App Crash,Email,Resolved,3.0
INT104855,BPM100138,2025-04-01,Account,Bank Account Change,WhatsApp,Resolved,2.0
INT744644,BPM100139,2025-04-01,Financial,Loan Inquiry,WhatsApp,Pending,4.0
INT972462,BPM100139,2025-04-12,Product,Pricing Query,Email,Pending,15.0
INT383179,BPM100139,2025-05-06,Account,Password Reset,Field Agent,Resolved,4.0
INT195510,BPM100140,2025-03-16,Financial,Loan Inquiry,In-App,Resolved,0.0
INT142093,BPM100140,2025-05-06,Product,Device Replacement,Phone,Pending,15.0
INT970164,BPM100140,2025-02-27,Product,Device Replacement,Email,Pending,10.0
INT476741,BPM100141,2025-03-30,Product,Pricing Query,WhatsApp,Resolved,3.0
INT124286,BPM100141,2025-04-11,Account,Password Reset,Email,Resolved,4.0
INT316774,BPM100141,2025-03-18,Account,Password Reset,In-App,Resolved,4.0
INT673722,BPM100142,2025-02-18,Account,Bank Account Change,Phone,Customer Dropout,
INT232864,BPM100142,2025-04-18,Financial,Refund Request,Phone,Resolved,0.0
INT802127,BPM100143,2025-03-03,Product,Feature Request,Field Agent,Resolved,4.0
INT990546,BPM100144,2025-04-13,Account,Account Update,Phone,Resolved,5.0
INT268283,BPM100144,2025-03-12,Product,New Product Inquiry,Email,Pending,15.0
INT795435,BPM100145,2025-03-26,Technical,Payment Failed,Field Agent,Resolved,4.0
INT311259,BPM100145,2025-04-28,Product,Feature Request,WhatsApp,Pending,5.0
INT597834,BPM100146,2025-05-11,Product,Device Replacement,Phone,Resolved,0.0
INT391281,BPM100148,2025-03-05,Account,Bank Account Change,In-App,Escalated,12.0
INT252720,BPM100148,2025-04-13,Financial,Loan Inquiry,Phone,Resolved,3.0
INT167963,BPM100148,2025-03-20,Product,Pricing Query,Email,Resolved,5.0
INT412909,BPM100149,2025-04-03,Technical,Login Issues,Phone,Pending,8.0
INT109533,BPM100150,2025-04-20,Product,Device Replacement,In-App,Pending,5.0
INT904063,BPM100150,2025-03-31,Product,New Product Inquiry,In-App,Pending,14.0
INT159489,BPM100150,2025-05-09,Product,Pricing Query,Phone,Resolved,0.0
INT486323,BPM100151,2025-05-09,Technical,Login Issues,Phone,Resolved,0.0
INT218459,BPM100151,2025-04-25,Account,Password Reset,In-App,Resolved,5.0
INT590176,BPM100153,2025-04-28,Technical,Payment Failed,WhatsApp,Resolved,3.0
INT778314,BPM100154,2025-03-04,Account,KYC Verification,In-App,Resolved,4.0
INT465252,BPM100155,2025-05-07,Account,Account Update,Field Agent,Escalated,20.0
INT271237,BPM100156,2025-03-19,Technical,QR Code Not Working,Phone,Resolved,3.0
INT699197,BPM100156,2025-03-12,Technical,Payment Failed,Phone,Resolved,3.0
INT361644,BPM100156,2025-04-16,Account,Account Update,Field Agent,Resolved,4.0
INT756453,BPM100157,2025-05-13,Account,KYC Verification,Phone,Resolved,4.0
INT351785,BPM100157,2025-03-29,Product,Pricing Query,In-App,Resolved,5.0
INT891383,BPM100157,2025-05-07,Product,New Product Inquiry,Email,Pending,6.0
INT135325,BPM100160,2025-04-07,Technical,Login Issues,Field Agent,Resolved,3.0
INT776164,BPM100160,2025-02-21,Account,Account Update,WhatsApp,Escalated,13.0
INT620125,BPM100160,2025-03-06,Product,Feature Request,WhatsApp,Resolved,5.0
INT847723,BPM100161,2025-05-11,Technical,App Crash,Email,Resolved,3.0
INT441000,BPM100161,2025-04-25,Product,Feature Request,In-App,Resolved,4.0
INT167447,BPM100162,2025-05-17,Financial,Loan Inquiry,WhatsApp,Escalated,14.0
INT155139,BPM100162,2025-03-12,Account,Bank Account Change,Email,Resolved,0.0
INT680126,BPM100163,2025-02-20,Financial,Loan Inquiry,In-App,Resolved,2.0
INT248624,BPM100163,2025-05-15,Product,New Product Inquiry,Phone,Pending,14.0
INT904769,BPM100165,2025-02-22,Financial,Settlement Delay,In-App,Resolved,1.0
INT604425,BPM100165,2025-03-27,Product,New Product Inquiry,Phone,Resolved,1.0
INT728143,BPM100166,2025-05-09,Product,Device Replacement,WhatsApp,Resolved,5.0
INT555330,BPM100167,2025-04-08,Product,Pricing Query,WhatsApp,Resolved,4.0
INT903927,BPM100167,2025-02-20,Product,Device Replacement,Email,Resolved,0.0
INT835687,BPM100168,2025-03-13,Technical,App Crash,Field Agent,Escalated,9.0
INT947007,BPM100169,2025-05-01,Financial,Loan Inquiry,WhatsApp,Resolved,0.0
INT824188,BPM100169,2025-05-09,Account,KYC Verification,In-App,Resolved,4.0
INT436471,BPM100170,2025-04-13,Technical,Login Issues,Phone,Resolved,5.0
INT822110,BPM100170,2025-05-01,Product,New Product Inquiry,WhatsApp,Resolved,5.0
INT782905,BPM100173,2025-02-28,Technical,Soundbox Issues,In-App,Resolved,1.0
INT952750,BPM100173,2025-05-07,Account,Bank Account Change,Email,Resolved,1.0
INT774232,BPM100173,2025-05-08,Financial,Loan Inquiry,Field Agent,Pending,11.0
INT426523,BPM100174,2025-03-16,Technical,QR Code Not Working,In-App,Resolved,2.0
INT891429,BPM100174,2025-03-21,Technical,Soundbox Issues,Phone,Resolved,0.0
INT131833,BPM100174,2025-03-10,Technical,Payment Failed,Phone,Resolved,4.0
INT244236,BPM100174,2025-03-28,Product,Device Replacement,In-App,Resolved,2.0
INT295291,BPM100175,2025-04-07,Account,KYC Verification,In-App,Resolved,3.0
INT512756,BPM100175,2025-03-31,Product,Pricing Query,In-App,Resolved,4.0
INT115822,BPM100175,2025-05-10,Financial,Loan Inquiry,Phone,Escalated,20.0
INT864893,BPM100176,2025-04-02,Technical,App Crash,WhatsApp,Resolved,2.0
INT985759,BPM100177,2025-04-12,Product,Feature Request,WhatsApp,Resolved,2.0
INT462591,BPM100177,2025-04-14,Account,Password Reset,Phone,Resolved,2.0
INT251618,BPM100178,2025-04-29,Product,Feature Request,WhatsApp,Resolved,4.0
INT901882,BPM100178,2025-03-18,Financial,Refund Request,Phone,Resolved,3.0
INT425112,BPM100179,2025-03-17,Account,Password Reset,Email,Pending,4.0
INT537552,BPM100180,2025-04-20,Financial,Settlement Delay,Field Agent,Pending,10.0
INT174172,BPM100183,2025-04-23,Account,Account Update,WhatsApp,Resolved,2.0
INT863203,BPM100183,2025-05-14,Technical,QR Code Not Working,In-App,Resolved,1.0
INT428029,BPM100183,2025-04-01,Technical,App Crash,Email,Resolved,0.0
INT737212,BPM100184,2025-03-13,Financial,Transaction Dispute,Phone,Resolved,2.0
INT286353,BPM100185,2025-05-05,Account,KYC Verification,Phone,Resolved,0.0
INT176475,BPM100185,2025-03-07,Financial,Refund Request,In-App,Resolved,1.0
INT964718,BPM100185,2025-05-17,Account,KYC Verification,Phone,Escalated,8.0
INT515197,BPM100187,2025-04-03,Technical,Soundbox Issues,WhatsApp,Resolved,0.0
INT441423,BPM100187,2025-03-08,Technical,QR Code Not Working,Phone,Pending,4.0
INT807653,BPM100188,2025-04-23,Product,New Product Inquiry,Phone,Pending,10.0
INT971831,BPM100188,2025-05-03,Technical,App Crash,Phone,Resolved,4.0
INT901438,BPM100192,2025-02-22,Technical,QR Code Not Working,WhatsApp,Resolved,0.0
INT695780,BPM100193,2025-05-13,Product,Device Replacement,WhatsApp,Pending,13.0
INT450223,BPM100195,2025-02-18,Technical,App Crash,Email,Resolved,5.0
INT662007,BPM100195,2025-05-18,Account,Bank Account Change,WhatsApp,Resolved,5.0
INT500090,BPM100195,2025-03-17,Account,KYC Verification,Field Agent,Customer Dropout,
INT370419,BPM100195,2025-04-10,Product,Feature Request,In-App,Resolved,3.0
INT396183,BPM100199,2025-03-20,Product,Pricing Query,WhatsApp,Resolved,4.0
