loan_id,merchant_id,approval_date,end_date,loan_type,loan_amount,interest_rate,loan_term_months,monthly_installment,amount_paid,remaining_amount,status
LN84193,BPM100124,2024-01-23,2024-07-21,Equipment Purchase,89000,14.09,18,5514,49626.0,51914.1,Default
LN14384,BPM100124,2023-10-27,2024-04-24,Working Capital,58000,16.09,6,10125,67332.2,0.0,Paid
LN99029,BPM100124,2024-01-31,,Business Expansion,167000,20.29,6,29503,88509.0,112375.3,Active
LN42693,BPM100125,2023-12-25,,Short Term Cash Flow,78000,15.91,12,7074,42444.0,47965.8,Active
LN53767,BPM100128,2023-10-15,,Equipment Purchase,198000,18.41,9,23722,94888.0,139563.8,Default
LN60966,BPM100129,2025-04-01,2025-12-27,Equipment Purchase,232000,19.85,9,27956,278052.0,0.0,Paid
LN75985,BPM100137,2023-11-11,2024-05-09,Business Expansion,526000,17.76,6,92263,619417.6,0.0,Paid
LN72731,BPM100137,2023-12-11,,Short Term Cash Flow,71000,13.69,18,4386,39474.0,41245.9,Active
LN65361,BPM100138,2023-09-03,2025-02-24,Equipment Purchase,94000,15.23,18,5874,108316.2,0.0,Paid
LN63154,BPM100140,2025-01-21,,Business Expansion,455000,17.51,12,41608,249648.0,285022.5,Active
LN84328,BPM100145,2024-12-09,2025-09-05,Inventory Financing,340000,16.91,9,40489,397494.0,0.0,Paid
LN45706,BPM100145,2023-02-16,,Short Term Cash Flow,60000,14.74,12,5408,32448.0,36396.0,Active
LN93415,BPM100146,2025-02-27,2025-11-24,Equipment Purchase,160000,19.6,9,19261,191360.0,0.0,Paid
LN29341,BPM100146,2024-06-08,2024-12-05,Inventory Financing,193000,19.02,6,33974,229708.6,0.0,Paid
LN20142,BPM100148,2023-07-30,,Inventory Financing,320000,15.58,12,28970,173820.0,196036.0,Active
LN77078,BPM100149,2023-12-19,2024-03-18,Short Term Cash Flow,46000,19.12,3,15825,54795.2,0.0,Paid
LN72869,BPM100149,2024-04-03,2025-09-25,Equipment Purchase,89000,14.48,18,5530,101887.2,0.0,Paid
LN12920,BPM100149,2024-04-23,,Working Capital,93000,20.67,3,32074,32074.0,80149.1,Active
LN93333,BPM100164,2024-10-31,2025-04-29,Equipment Purchase,176000,17.58,6,30856,206940.8,0.0,Paid
LN17408,BPM100164,2024-12-13,2026-01-07,Business Expansion,217000,14.05,18,13441,120969.0,126519.5,Default
LN60068,BPM100166,2023-09-29,2024-06-25,Inventory Financing,319000,15.06,9,37706,367041.4,0.0,Paid
LN62067,BPM100166,2024-08-20,2024-11-18,Inventory Financing,167000,21.61,3,57684,203088.7,0.0,Paid
LN30788,BPM100169,2024-02-06,,Business Expansion,909000,19.05,3,312671,312671.0,769493.5,Active
LN98876,BPM100171,2024-12-24,2025-02-22,Working Capital,42000,19.29,9,5050,20200.0,29901.8,Default
LN77899,BPM100171,2023-09-28,,Short Term Cash Flow,42000,17.87,12,3848,23088.0,26417.4,Active
LN93819,BPM100179,2023-08-24,2023-11-22,Short Term Cash Flow,43000,23.69,3,14903,53186.7,0.0,Paid
LN55258,BPM100179,2024-12-20,2025-04-19,Working Capital,72000,14.1,18,4461,40149.0,42003.0,Default
LN64390,BPM100179,2022-12-04,,Inventory Financing,375000,15.42,12,33921,203526.0,229299.0,Active
LN31731,BPM100180,2025-03-30,,Business Expansion,315000,14.15,18,19525,175725.0,183847.5,Active
LN15016,BPM100182,2024-12-01,2025-05-30,Business Expansion,323000,18.88,6,56836,383982.4,0.0,Paid
LN68844,BPM100182,2023-08-05,2024-03-02,Equipment Purchase,296000,19.04,9,35553,142212.0,210146.4,Default
LN98381,BPM100182,2024-01-08,,Business Expansion,819000,19.47,6,144355,433065.0,545394.3,Active
LN37211,BPM100185,2025-04-17,,Inventory Financing,245000,13.17,18,15074,135666.0,141600.5,Active
LN42098,BPM100187,2025-03-04,2026-02-27,Short Term Cash Flow,97000,17.58,12,8874,114052.6,0.0,Paid
LN36673,BPM100187,2023-06-08,2023-12-05,Business Expansion,317000,15.3,18,19821,178389.0,187112.0,Default
LN87173,BPM100187,2023-08-23,2024-05-19,Equipment Purchase,297000,17.41,9,35440,348707.7,0.0,Paid
LN31809,BPM100187,2024-04-01,2024-09-28,Business Expansion,184000,17.76,6,32275,216678.4,0.0,Paid
LN83341,BPM100187,2023-03-06,,Short Term Cash Flow,57000,13.92,18,3527,31743.0,33191.4,Active
LN88867,BPM100190,2024-02-06,,Business Expansion,813000,19.75,6,143412,430236.0,543331.5,Active
LN18364,BPM100191,2024-11-15,2025-02-13,Inventory Financing,162000,23.71,3,56148,200410.2,0.0,Paid
LN72567,BPM100191,2023-11-29,,Business Expansion,237000,17.81,6,41577,124731.0,154478.7,Active
LN11335,BPM100194,2023-05-15,2023-11-11,Equipment Purchase,141000,17.46,6,24711,165618.6,0.0,Paid
LN13383,BPM100194,2023-09-23,,Equipment Purchase,83000,19.75,3,28582,28582.0,70810.5,Active
LN92720,BPM100196,2024-09-26,,Equipment Purchase,255000,15.28,18,15942,143478.0,150486.0,Active
LN94632,BPM100199,2025-02-24,,Business Expansion,456000,19.73,6,80433,241299.0,304669.8,Active
LN88653,BPM100201,2024-09-09,,Working Capital,179000,19.73,9,21559,86236.0,128080.7,Active
LN71990,BPM100202,2023-11-22,,Equipment Purchase,201000,15.48,18,12585,113265.0,118849.8,Default
LN85188,BPM100206,2024-02-05,,Working Capital,60000,20.3,3,20680,20680.0,51500.0,Active
LN65395,BPM100210,2024-10-02,2024-12-31,Short Term Cash Flow,55000,18.08,3,18889,64944.0,0.0,Paid
LN28106,BPM100210,2023-11-22,,Business Expansion,434000,13.4,18,26749,240741.0,251415.0,Active
LN27760,BPM100211,2024-03-04,2025-08-26,Short Term Cash Flow,67000,15.06,18,4182,77090.2,0.0,Paid
LN75139,BPM100211,2024-10-08,,Short Term Cash Flow,72000,19.18,6,12680,38040.0,47769.6,Active
LN22344,BPM100212,2024-10-20,,Business Expansion,303000,21.72,6,53747,161241.0,207570.6,Active
LN50259,BPM100215,2023-11-29,,Equipment Purchase,96000,16.0,12,8710,52260.0,59100.0,Active
LN51850,BPM100216,2024-08-10,,Working Capital,198000,18.87,6,34840,104520.0,130842.6,Default
LN11249,BPM100218,2024-11-11,2025-11-06,Short Term Cash Flow,72000,14.72,12,6489,82598.4,0.0,Paid
LN92294,BPM100218,2023-06-17,2024-12-08,Business Expansion,341000,15.05,18,21281,392320.5,0.0,Paid
LN17378,BPM100218,2024-11-01,,Business Expansion,651000,18.66,3,223783,223783.0,548693.6,Active
LN27118,BPM100220,2023-03-22,2024-09-12,Inventory Financing,170000,15.11,18,10614,195687.0,0.0,Paid
LN69588,BPM100220,2024-10-27,2025-07-24,Business Expansion,239000,19.47,9,28756,285533.3,0.0,Paid
LN26983,BPM100220,2022-10-06,,Short Term Cash Flow,54000,21.04,6,9560,28680.0,36681.6,Active
LN96167,BPM100222,2024-06-23,,Inventory Financing,186000,13.11,18,11439,102951.0,107433.6,Active
LN60845,BPM100228,2023-12-03,2024-11-27,Equipment Purchase,230000,14.41,12,20695,263143.0,0.0,Paid
LN90651,BPM100229,2024-02-26,2024-11-22,Inventory Financing,81000,16.64,12,7374,44244.0,50234.4,Default
LN80685,BPM100229,2023-12-23,2024-09-18,Working Capital,165000,19.74,9,19874,197571.0,0.0,Paid
LN73310,BPM100229,2024-10-07,,Inventory Financing,102000,19.98,3,35138,35138.0,87241.6,Active
LN20497,BPM100230,2024-11-01,2025-04-30,Short Term Cash Flow,45000,17.69,6,7892,23676.0,29284.5,Default
LN52973,BPM100230,2023-04-19,2024-04-13,Short Term Cash Flow,78000,17.49,12,7132,91642.2,0.0,Paid
LN14693,BPM100230,2024-09-21,,Business Expansion,844000,23.09,3,292229,292229.0,746650.6,Active
LN38942,BPM100237,2023-10-27,2025-04-19,Equipment Purchase,180000,15.7,18,11289,208260.0,0.0,Paid
LN74605,BPM100237,2024-11-16,2025-05-15,Business Expansion,647000,19.42,6,114023,772647.4,0.0,Paid
LN19149,BPM100238,2024-07-02,,Equipment Purchase,86000,13.99,18,5324,47916.0,50115.4,Active
LN55346,BPM100239,2024-02-24,2024-08-22,Business Expansion,608000,17.47,6,106559,714217.6,0.0,Paid
LN67198,BPM100239,2023-12-13,2025-05-06,Working Capital,134000,14.12,18,8304,74736.0,78184.8,Default
LN14982,BPM100240,2024-09-29,,Business Expansion,830000,18.63,3,285301,285301.0,699328.0,Active
LN94982,BPM100241,2024-12-08,,Business Expansion,600000,18.98,3,206360,206360.0,507520.0,Active
LN76385,BPM100242,2024-10-30,2025-01-28,Inventory Financing,210000,18.4,3,72158,248640.0,0.0,Paid
LN79923,BPM100243,2023-06-16,2023-09-14,Business Expansion,597000,21.73,3,206250,726728.1,0.0,Paid
LN46567,BPM100243,2023-06-02,2024-05-27,Inventory Financing,316000,17.24,12,28857,370478.4,0.0,Paid
LN41514,BPM100244,2024-04-11,2024-10-08,Inventory Financing,428000,18.64,6,75261,507779.2,0.0,Paid
LN55436,BPM100244,2023-06-17,2023-11-14,Equipment Purchase,160000,20.4,6,28276,84828.0,107812.0,Default
LN19648,BPM100248,2024-04-06,2025-09-28,Equipment Purchase,280000,14.33,18,17380,320124.0,0.0,Paid
LN54040,BPM100248,2025-01-11,,Working Capital,183000,17.0,9,21801,87204.0,126906.0,Active
LN27352,BPM100253,2024-07-12,2024-10-10,Equipment Purchase,193000,19.74,3,66461,231098.2,0.0,Paid
LN47362,BPM100253,2024-02-20,2024-11-16,Business Expansion,498000,16.87,9,59295,582012.6,0.0,Paid
LN92543,BPM100254,2024-07-10,,Inventory Financing,299000,18.22,9,35795,143180.0,210297.8,Active
LN78700,BPM100255,2024-07-13,,Equipment Purchase,186000,15.12,9,21990,87960.0,126163.2,Active
LN86319,BPM100257,2024-01-27,2024-07-25,Inventory Financing,340000,19.81,6,59985,407354.0,0.0,Paid
LN75452,BPM100258,2023-10-30,,Business Expansion,516000,22.42,3,178467,178467.0,453220.2,Active
LN79595,BPM100259,2025-03-01,,Business Expansion,217000,17.75,12,19869,119214.0,136303.5,Active
LN60437,BPM100262,2024-03-15,2025-09-06,Short Term Cash Flow,45000,15.94,18,2827,52173.0,0.0,Paid
LN50025,BPM100262,2024-05-29,2024-08-27,Working Capital,34000,18.27,3,11680,40211.8,0.0,Paid
LN98155,BPM100262,2024-04-19,2025-01-14,Short Term Cash Flow,57000,19.33,9,6854,68018.1,0.0,Paid
LN48493,BPM100262,2023-08-09,,Inventory Financing,61000,15.73,9,7230,28920.0,41675.3,Active
LN11247,BPM100267,2024-10-27,2025-07-24,Business Expansion,477000,19.59,9,57419,570444.3,0.0,Paid
LN97963,BPM100267,2024-02-12,2024-11-08,Inventory Financing,302000,16.25,9,35868,351075.0,0.0,Paid
LN60495,BPM100267,2023-08-26,,Working Capital,171000,20.66,6,30242,90726.0,115602.6,Active
LN30264,BPM100270,2023-10-15,,Working Capital,185000,15.51,12,16742,100452.0,113241.5,Active
LN77196,BPM100271,2024-01-06,,Inventory Financing,394000,22.58,3,136307,136307.0,346658.2,Default
LN46318,BPM100275,2024-09-06,,Equipment Purchase,226000,19.42,9,27186,108744.0,161145.2,Active
LN64893,BPM100279,2024-10-10,2025-07-07,Working Capital,194000,17.03,9,23114,227038.2,0.0,Paid
LN33750,BPM100279,2024-11-05,2025-01-04,Equipment Purchase,298000,16.6,6,52099,156297.0,191171.0,Default
LN89494,BPM100279,2023-11-09,2025-05-02,Short Term Cash Flow,78000,14.27,18,4839,89130.6,0.0,Paid
LN22486,BPM100279,2024-04-01,,Short Term Cash Flow,50000,18.03,6,8777,26331.0,32684.0,Active
LN80477,BPM100280,2024-10-30,2025-07-27,Inventory Financing,412000,19.23,9,49523,491227.6,0.0,Paid
LN50817,BPM100280,2024-02-12,2025-08-05,Working Capital,139000,13.63,18,8582,157945.7,0.0,Paid
LN61587,BPM100280,2024-08-26,2026-02-17,Working Capital,43000,13.58,18,2654,48839.4,0.0,Paid
LN80699,BPM100284,2024-05-24,,Working Capital,106000,17.94,9,12676,50704.0,74312.4,Active
LN11553,BPM100286,2024-09-19,,Short Term Cash Flow,81000,18.02,9,9689,38756.0,56840.2,Active
LN28387,BPM100288,2024-11-13,2026-05-07,Short Term Cash Flow,69000,13.82,18,4266,78535.8,0.0,Paid
LN87350,BPM100290,2024-01-30,2024-10-26,Equipment Purchase,216000,16.65,9,25696,251964.0,0.0,Paid
LN27845,BPM100290,2024-05-03,2024-08-01,Short Term Cash Flow,42000,18.47,3,14433,49757.4,0.0,Paid
LN65279,BPM100290,2024-07-14,2024-12-11,Short Term Cash Flow,75000,17.74,9,8961,35844.0,52461.0,Default
LN85897,BPM100294,2022-12-14,2023-12-09,Equipment Purchase,163000,14.55,12,14678,88068.0,98648.5,Default
LN16551,BPM100294,2024-08-29,2026-02-20,Short Term Cash Flow,80000,14.8,18,4983,91840.0,0.0,Paid
LN88614,BPM100299,2023-12-18,2024-12-12,Equipment Purchase,227000,16.42,12,20641,264273.4,0.0,Paid
LN24371,BPM100299,2023-11-08,2025-05-01,Business Expansion,996000,15.65,18,62440,1151874.0,0.0,Paid
LN94766,BPM100299,2024-09-21,,Business Expansion,267000,15.52,18,16722,150498.0,157940.4,Active
LN10914,BPM100306,2025-02-04,2026-01-30,Equipment Purchase,100000,15.34,12,9042,115340.0,0.0,Paid
LN67741,BPM100307,2024-04-24,2025-10-16,Inventory Financing,122000,14.51,18,7583,139702.2,0.0,Paid
LN45649,BPM100307,2024-10-02,2024-12-31,Working Capital,114000,19.92,3,39269,136708.8,0.0,Paid
LN18087,BPM100307,2024-01-22,2024-10-18,Equipment Purchase,179000,16.79,9,21306,209054.1,0.0,Paid
LN90246,BPM100307,2023-09-16,,Working Capital,187000,21.24,6,33126,99378.0,127340.8,Active
LN54618,BPM100310,2023-12-29,2024-03-28,Equipment Purchase,198000,23.68,3,68622,244886.4,0.0,Paid
LN46056,BPM100310,2024-01-03,2024-07-01,Business Expansion,359000,17.12,6,62856,420460.8,0.0,Paid
LN29995,BPM100310,2024-08-06,2025-01-03,Working Capital,59000,16.42,9,7012,28048.0,40639.8,Default
LN59956,BPM100311,2023-03-10,2023-12-05,Business Expansion,470000,17.0,9,55991,549900.0,0.0,Paid
LN63625,BPM100315,2025-04-16,2026-04-11,Business Expansion,587000,14.08,12,52727,669649.6,0.0,Paid
LN79376,BPM100315,2024-02-05,2024-05-05,Inventory Financing,355000,21.36,3,122571,430828.0,0.0,Paid
LN63026,BPM100315,2024-07-09,2024-09-07,Short Term Cash Flow,74000,21.32,6,13112,39336.0,50440.8,Default
LN24517,BPM100315,2023-06-08,2024-03-04,Inventory Financing,286000,19.19,9,34372,340883.4,0.0,Paid
LN40439,BPM100315,2023-09-11,,Working Capital,125000,19.31,3,43015,43015.0,106122.5,Active
LN90881,BPM100316,2024-06-28,2025-03-25,Inventory Financing,356000,18.54,9,42674,422002.4,0.0,Paid
LN54990,BPM100316,2024-05-09,2024-11-05,Inventory Financing,211000,17.65,6,36999,248241.5,0.0,Paid
LN70841,BPM100316,2024-05-29,,Business Expansion,269000,14.65,12,24235,145410.0,162998.5,Active
LN98112,BPM100317,2024-09-04,2025-01-02,Working Capital,174000,17.32,6,30482,91446.0,112690.8,Default
LN66064,BPM100317,2024-08-28,,Inventory Financing,451000,17.25,12,41187,247122.0,281675.5,Active
LN76242,BPM100320,2024-11-15,2025-11-10,Equipment Purchase,123000,14.23,12,11057,140502.9,0.0,Paid
LN27610,BPM100320,2024-05-17,,Short Term Cash Flow,76000,17.15,12,6937,41622.0,47412.0,Active
LN20846,BPM100323,2023-10-11,,Equipment Purchase,191000,17.4,9,22790,91160.0,133074.0,Active
LN65103,BPM100324,2024-04-11,2025-04-06,Equipment Purchase,163000,15.58,12,14757,188395.4,0.0,Paid
LN53356,BPM100325,2025-01-12,2025-04-12,Short Term Cash Flow,71000,22.71,3,24568,87124.1,0.0,Paid
LN42786,BPM100325,2024-10-01,2026-03-25,Business Expansion,883000,14.72,18,54969,1012977.6,0.0,Paid
LN82402,BPM100325,2024-04-29,2024-05-29,Equipment Purchase,243000,17.12,9,28962,115848.0,168753.6,Default
LN60589,BPM100328,2024-06-30,,Inventory Financing,212000,14.75,12,19110,114660.0,128610.0,Active
LN62306,BPM100330,2024-09-21,2024-11-20,Inventory Financing,64000,15.78,18,4016,36144.0,37955.2,Default
LN24582,BPM100330,2023-07-29,,Equipment Purchase,208000,13.7,18,12849,115641.0,120855.0,Active
LN39884,BPM100331,2024-07-27,2025-07-22,Equipment Purchase,142000,16.46,12,12915,165373.2,0.0,Paid
LN29605,BPM100331,2024-03-29,2024-06-27,Business Expansion,494000,21.23,3,170527,598876.2,0.0,Paid
LN59944,BPM100331,2023-08-31,,Inventory Financing,393000,14.13,12,35310,211860.0,236670.9,Active
LN44698,BPM100332,2024-05-10,2025-11-01,Working Capital,93000,15.02,18,5803,106968.6,0.0,Paid
LN81359,BPM100332,2023-01-12,,Equipment Purchase,103000,18.59,9,12349,49396.0,72751.7,Default
LN53905,BPM100335,2023-03-20,,Inventory Financing,94000,19.07,6,16550,49650.0,62275.8,Active
LN89438,BPM100337,2025-02-16,,Inventory Financing,486000,15.2,18,30365,273285.0,286587.0,Active
LN24761,BPM100341,2024-12-07,2025-05-06,Inventory Financing,376000,17.71,6,65943,197829.0,244760.6,Default
LN58603,BPM100341,2024-07-11,2025-07-06,Inventory Financing,355000,17.35,12,32437,416592.5,0.0,Paid
LN79388,BPM100343,2023-10-11,2024-04-08,Short Term Cash Flow,88000,16.61,6,15385,102616.8,0.0,Paid
LN32801,BPM100343,2024-05-28,2025-02-22,Equipment Purchase,273000,17.99,9,32652,322112.7,0.0,Paid
LN88522,BPM100343,2024-08-12,,Inventory Financing,163000,17.47,6,28568,85704.0,105772.1,Active
LN54031,BPM100348,2024-06-24,,Working Capital,142000,18.95,3,48836,48836.0,120073.0,Active
LN69124,BPM100350,2024-05-29,,Short Term Cash Flow,32000,16.08,12,2905,17430.0,19715.6,Active
LN64540,BPM100351,2024-06-19,,Inventory Financing,114000,14.92,18,7108,63972.0,67036.8,Active
LN71672,BPM100353,2024-04-01,2024-06-30,Working Capital,79000,18.41,3,27145,93543.9,0.0,Paid
LN97805,BPM100353,2023-03-19,,Business Expansion,573000,21.49,3,197881,197881.0,498256.7,Active
