merchant_id,business_name,business_category,subcategory,state,district,city,tier,pin_code,onboarding_date,acquisition_channel,device_type,active_status,last_transaction_date,qr_displayed,soundbox_adopted,swipe_machine,loans_taken,current_loan_status,monthly_transaction_count,monthly_transaction_value,avg_ticket_size
BPM100020,New Point,Services,Travel Agency,Rajasthan,Jodhpur,Jodhpur,Tier 2,341789,2023-03-04,Field Sales,Android Mid-Range,Active,2025-05-09,Yes,Yes,Yes,0,No Loan,335,88366,263.78
BPM100021,Royal Mart,Wholesale,Stationery Wholesale,Gujarat,Ahmedabad,Ahmedabad,Tier 1,373555,2023-07-21,Field Sales,Android Low-End,Active,2025-04-25,Yes,No,No,2,Paid,278,287638,1034.67
BPM100022,Bath Mart,Wholesale,Textile Wholesale,Uttar Pradesh,Varanasi,Varanasi,Tier 3,221632,2022-11-04,App Store Download,Android Mid-Range,Active,2025-04-22,Yes,Yes,No,1,Paid,167,156816,939.02
BPM100023,Vedant Emporium,Food & Beverage,Cafe,Punjab,Amritsar,Amritsar,Tier 3,151467,2023-04-19,Referral,Android Mid-Range,Active,2025-05-15,Yes,Yes,No,0,No Loan,850,67340,79.22
BPM100024,Mega Shop,Retail,Hardware,Delhi,Central Delhi,Central Delhi,Tier 3,110074,2022-12-28,Referral,Android Low-End,Active,2025-04-23,Yes,Yes,No,0,No Loan,579,94680,163.52
BPM100025,Setty Dukaan,Food & Beverage,Dhaba,Gujarat,Vadodara,Vadodara,Tier 1,390129,2022-12-07,Digital Marketing,Android Mid-Range,Active,2025-05-05,Yes,No,Yes,0,No Loan,954,300692,315.19
BPM100026,Royal Junction,Wholesale,Electronics Wholesale,Gujarat,Vadodara,Vadodara,Tier 2,361880,2023-06-26,Digital Marketing,Android Low-End,Active,2025-05-11,Yes,Yes,Yes,1,Active,79,618831,7833.3
BPM100027,New Junction,Services,Mobile Repair,Tamil Nadu,Madurai,Madurai,Tier 3,638112,2022-12-27,Field Sales,Android Mid-Range,Active,2025-05-10,Yes,Yes,Yes,2,Paid,247,95031,384.74
BPM100028,Loke Dukaan,Services,Tailor,Punjab,Amritsar,Amritsar,Tier 2,146360,2022-12-10,Field Sales,Android Low-End,Dormant,2025-04-01,Yes,Yes,No,0,No Loan,231,54690,236.75
BPM100029,New Emporium,Retail,Grocery,Maharashtra,Nagpur,Nagpur,Tier 2,431308,2023-03-26,Field Sales,Android Mid-Range,Active,2025-05-10,Yes,Yes,No,0,No Loan,362,117951,325.83
BPM100030,Gade Mart,Retail,Electronics,Gujarat,Vadodara,Vadodara,Tier 2,363947,2022-09-06,Digital Marketing,Android Mid-Range,Active,2025-05-06,Yes,No,Yes,2,Paid,517,73544,142.25
BPM100031,Golden Dukaan,Services,Travel Agency,Tamil Nadu,Coimbatore,Coimbatore,Tier 1,609764,2023-01-02,Field Sales,Android Low-End,Active,2025-05-05,Yes,No,No,0,No Loan,214,69835,326.33
BPM100032,Kanda Emporium,Retail,Grocery,Gujarat,Vadodara,Vadodara,Tier 2,376408,2023-04-24,Field Sales,Android High-End,Active,2025-05-11,Yes,No,Yes,0,No Loan,536,179818,335.48
BPM100033,Sri Emporium,Retail,Clothing,Delhi,West Delhi,West Delhi,Tier 2,110041,2022-07-07,Field Sales,Android Low-End,Active,2025-05-05,Yes,Yes,Yes,0,No Loan,571,115472,202.23
BPM100034,Mega & Co.,Wholesale,Grocery Wholesale,Uttar Pradesh,Meerut,Meerut,Tier 3,265338,2022-10-03,Partner Bank,Android High-End,Dormant,2025-03-10,Yes,Yes,Yes,0,No Loan,71,349814,4926.96
BPM100035,Rattan Traders,Food & Beverage,Fast Food,Rajasthan,Jaipur,Jaipur,Tier 2,342448,2023-01-06,Merchant Event,Android Mid-Range,Active,2025-05-15,Yes,No,No,0,No Loan,858,149817,174.61
BPM100036,Bhatti Traders,Wholesale,Textile Wholesale,Maharashtra,Nagpur,Nagpur,Tier 2,419566,2023-06-16,Field Sales,Android Low-End,Active,2025-04-22,Yes,No,No,3,Active,174,479921,2758.17
BPM100037,Sri & Co.,Retail,Stationery,Punjab,Amritsar,Amritsar,Tier 2,154427,2024-05-03,Referral,Android High-End,Active,2025-05-11,Yes,No,No,0,No Loan,300,157589,525.3
BPM100038,Shree Shop,Retail,Grocery,Tamil Nadu,Chennai,Chennai,Tier 1,628440,2022-11-13,Referral,Android Low-End,Active,2025-05-08,Yes,Yes,No,0,No Loan,640,129892,202.96
BPM100039,Lanka Mart,Wholesale,Electronics Wholesale,Tamil Nadu,Coimbatore,Coimbatore,Tier 3,615216,2022-08-04,Field Sales,Android Low-End,Active,2025-05-17,Yes,Yes,No,0,No Loan,126,299952,2380.57
BPM100040,Koshy Emporium,Wholesale,Electronics Wholesale,Rajasthan,Jaipur,Jaipur,Tier 2,315545,2022-08-12,App Store Download,Android Low-End,Active,2025-05-01,Yes,No,No,0,No Loan,268,378708,1413.09
BPM100041,Golden Mart,Retail,Hardware,Tamil Nadu,Coimbatore,Coimbatore,Tier 2,606367,2022-11-27,Field Sales,Android High-End,Active,2025-05-06,Yes,Yes,No,0,No Loan,507,126583,249.67
BPM100042,Mohini Shop,Wholesale,Grocery Wholesale,Rajasthan,Udaipur,Udaipur,Tier 3,307547,2024-01-05,Digital Marketing,Android Mid-Range,Active,2025-05-08,Yes,Yes,Yes,1,Paid,82,322870,3937.44
BPM100043,Mega Enterprises,Retail,Stationery,Punjab,Ludhiana,Ludhiana,Tier 3,161222,2022-07-26,Digital Marketing,Android High-End,Active,2025-05-04,Yes,Yes,No,1,Paid,422,122808,291.01
BPM100044,Sri Center,Services,Tailor,Gujarat,Vadodara,Vadodara,Tier 2,362144,2023-02-02,Field Sales,Android Low-End,Active,2025-04-29,Yes,Yes,Yes,3,Active,338,115776,342.53
BPM100045,Sri Enterprise,Food & Beverage,Bakery,Tamil Nadu,Chennai,Chennai,Tier 1,636320,2023-04-28,Referral,Android Low-End,Active,2025-05-15,Yes,No,Yes,0,No Loan,1087,177983,163.74
BPM100046,Dua Traders,Wholesale,Grocery Wholesale,West Bengal,Kolkata,Kolkata,Tier 1,708307,2022-11-03,Digital Marketing,Android Mid-Range,Active,2025-04-30,Yes,No,No,1,Default,90,640364,7115.16
BPM100047,New Traders,Services,Electronics Repair,Rajasthan,Jaipur,Jaipur,Tier 2,305294,2023-07-17,App Store Download,Android Mid-Range,Active,2025-04-30,Yes,No,No,2,Paid,151,47214,312.68
BPM100048,Golden Emporium,Wholesale,Electronics Wholesale,Rajasthan,Jaipur,Jaipur,Tier 2,320483,2023-11-01,Digital Marketing,Android Mid-Range,Dormant,2025-03-23,Yes,No,No,0,No Loan,133,408392,3070.62
BPM100049,Golden & Sons,Services,Laundry,Gujarat,Ahmedabad,Ahmedabad,Tier 1,378850,2022-09-02,Merchant Event,Android High-End,Active,2025-05-08,Yes,Yes,Yes,0,No Loan,177,133084,751.89
BPM100050,Apte Traders,Services,Printing Services,West Bengal,Kolkata,Kolkata,Tier 1,711823,2023-06-25,Field Sales,Android Mid-Range,Dormant,2025-03-03,Yes,Yes,No,0,No Loan,300,107141,357.14
BPM100051,Ishwar Point,Retail,Hardware,Delhi,South Delhi,South Delhi,Tier 1,110006,2023-04-11,Partner Bank,Android Low-End,Active,2025-05-08,Yes,Yes,No,0,No Loan,680,192994,283.81
BPM100052,Oak & Sons,Services,Laundry,Tamil Nadu,Coimbatore,Coimbatore,Tier 3,616745,2023-01-20,Merchant Event,Android High-End,Active,2025-05-02,Yes,No,Yes,0,No Loan,99,24184,244.28
BPM100053,Memon Enterprise,Retail,Medical Store,Gujarat,Rajkot,Rajkot,Tier 2,378973,2022-11-15,Field Sales,Android Low-End,Active,2025-05-06,Yes,Yes,No,0,No Loan,265,125132,472.2
BPM100054,Royal Shop,Food & Beverage,Juice Center,Punjab,Amritsar,Amritsar,Tier 3,157386,2023-10-07,Field Sales,Android Low-End,Active,2025-05-14,Yes,No,No,3,Active,677,128762,190.19
BPM100055,Aggarwal Industries,Services,Electronics Repair,Rajasthan,Ajmer,Ajmer,Tier 3,303681,2022-09-04,Referral,Android Mid-Range,Active,2025-04-22,Yes,No,No,0,No Loan,89,40697,457.27
BPM100056,Adya Point,Food & Beverage,Restaurant,Maharashtra,Nagpur,Nagpur,Tier 1,405526,2022-12-02,Field Sales,Android Mid-Range,Active,2025-05-10,Yes,No,No,2,Active,1008,222213,220.45
BPM100057,Shri Traders,Services,Printing Services,Karnataka,Mysore,Mysore,Tier 1,571462,2023-05-30,Field Sales,Android Low-End,Active,2025-04-23,Yes,No,No,0,No Loan,389,75661,194.5
BPM100058,Shree Dukaan,Food & Beverage,Sweet Shop,Karnataka,Mangalore,Mangalore,Tier 2,566291,2023-03-16,Field Sales,Android Mid-Range,Active,2025-05-03,Yes,Yes,No,1,Active,605,104668,173.0
BPM100059,Yashica Center,Food & Beverage,Tea Stall,Tamil Nadu,Salem,Salem,Tier 3,615335,2023-09-17,Referral,Android Low-End,Active,2025-05-10,Yes,No,No,1,Active,926,165568,178.8
BPM100060,Michael Shop,Retail,Clothing,Punjab,Amritsar,Amritsar,Tier 3,149340,2022-10-12,Field Sales,Android Low-End,Active,2025-05-05,Yes,No,No,0,No Loan,370,81362,219.9
BPM100061,Golden Traders,Retail,Hardware,Delhi,East Delhi,East Delhi,Tier 3,110017,2023-08-01,Digital Marketing,Android Low-End,Churned,2025-03-30,Yes,No,No,0,No Loan,634,72236,113.94
BPM100062,Naik Shop,Wholesale,Grocery Wholesale,Delhi,New Delhi,New Delhi,Tier 2,110079,2023-05-08,Partner Bank,Android Mid-Range,Dormant,2025-03-23,Yes,Yes,No,0,No Loan,81,386456,4771.06
BPM100063,Royal Traders,Wholesale,Electronics Wholesale,Punjab,Patiala,Patiala,Tier 1,141426,2023-04-05,App Store Download,Android Low-End,Dormant,2025-03-13,Yes,Yes,Yes,0,No Loan,137,289745,2114.93
BPM100064,Patil Mart,Food & Beverage,Restaurant,Rajasthan,Jaipur,Jaipur,Tier 2,319231,2022-09-21,Digital Marketing,Android Mid-Range,Active,2025-05-11,Yes,No,Yes,0,No Loan,577,279045,483.61
BPM100065,Khatri Junction,Food & Beverage,Fast Food,Gujarat,Rajkot,Rajkot,Tier 3,382219,2023-05-29,Field Sales,Android Low-End,Dormant,2025-03-12,No,Yes,No,1,Paid,956,106243,111.13
BPM100066,Dalbir Emporium,Services,Printing Services,Uttar Pradesh,Meerut,Meerut,Tier 3,257008,2022-11-22,Field Sales,Android Low-End,Active,2025-05-19,Yes,No,No,1,Paid,99,32650,329.8
BPM100067,Modern Enterprise,Food & Beverage,Juice Center,Rajasthan,Jaipur,Jaipur,Tier 2,337612,2024-10-13,Field Sales,Android High-End,Active,2025-05-07,Yes,Yes,No,0,No Loan,507,74301,146.55
BPM100068,Shree Junction,Services,Printing Services,Rajasthan,Kota,Kota,Tier 3,305753,2022-10-11,Field Sales,Android Mid-Range,Active,2025-04-27,Yes,No,No,0,No Loan,187,24745,132.33
BPM100069,Super Enterprises,Food & Beverage,Cafe,Uttar Pradesh,Varanasi,Varanasi,Tier 3,272305,2022-10-04,Referral,Android Low-End,Active,2025-05-01,Yes,No,No,0,No Loan,370,99714,269.5
BPM100070,Vaishnavi Dukan,Food & Beverage,Tea Stall,Karnataka,Bangalore Urban,Bangalore Urban,Tier 3,564068,2023-05-24,Referral,Android Mid-Range,Active,2025-04-22,Yes,Yes,No,0,No Loan,400,96288,240.72
BPM100071,Alka Point,Retail,General Store,Karnataka,Belgaum,Belgaum,Tier 3,571063,2022-06-26,Field Sales,Android Low-End,Active,2025-04-30,Yes,No,No,0,No Loan,277,46421,167.58
BPM100072,Pallavi Traders,Wholesale,Stationery Wholesale,Maharashtra,Pune,Pune,Tier 1,428809,2022-11-10,Field Sales,Android Low-End,Active,2025-05-08,No,Yes,Yes,1,Active,241,394108,1635.3
BPM100073,Muni Dukaan,Services,Tailor,Gujarat,Surat,Surat,Tier 2,381458,2023-03-02,App Store Download,Android Mid-Range,Dormant,2025-03-25,Yes,No,No,0,No Loan,240,103491,431.21
BPM100074,Prakash & Co.,Food & Beverage,Tea Stall,Rajasthan,Jaipur,Jaipur,Tier 3,328241,2023-02-16,Field Sales,iPhone,Active,2025-05-10,Yes,No,No,5,Active,499,110248,220.94
BPM100075,Super Emporium,Wholesale,Grocery Wholesale,Punjab,Ludhiana,Ludhiana,Tier 3,159741,2022-08-03,Referral,Android Mid-Range,Active,2025-05-03,Yes,No,Yes,2,Paid,32,159516,4984.88
BPM100076,Kar Industries,Retail,Medical Store,West Bengal,Asansol,Asansol,Tier 3,721708,2023-10-05,Field Sales,Android Mid-Range,Active,2025-04-19,Yes,No,No,1,Active,516,68984,133.69
BPM100077,Devansh Enterprise,Wholesale,Grocery Wholesale,Gujarat,Surat,Surat,Tier 2,386894,2024-01-02,Field Sales,Android Low-End,Active,2025-05-14,Yes,No,No,0,No Loan,78,489821,6279.76
BPM100078,Karpe Enterprise,Wholesale,Electronics Wholesale,West Bengal,Durgapur,Durgapur,Tier 3,720777,2023-03-01,Field Sales,Android Mid-Range,Active,2025-05-08,No,No,Yes,2,Active,119,318599,2677.3
BPM100079,Mega Junction,Food & Beverage,Bakery,Punjab,Bathinda,Bathinda,Tier 1,164277,2022-08-01,Digital Marketing,Android Mid-Range,Active,2025-05-04,Yes,No,Yes,0,No Loan,745,199183,267.36
BPM100080,Shri Shop,Food & Beverage,Restaurant,West Bengal,Kolkata,Kolkata,Tier 2,705862,2022-07-10,Field Sales,Android Mid-Range,Active,2025-05-04,Yes,No,No,1,Active,880,144701,164.43
BPM100081,Bir Center,Wholesale,Electronics Wholesale,Punjab,Ludhiana,Ludhiana,Tier 3,156522,2022-10-06,Field Sales,Android Mid-Range,Churned,2025-01-23,Yes,No,No,0,No Loan,64,246357,3849.33
BPM100082,Narayanan Shop,Services,Mobile Repair,Karnataka,Mysore,Mysore,Tier 2,560223,2023-05-12,Referral,Android High-End,Churned,2025-01-17,Yes,Yes,No,0,No Loan,227,121080,533.39
BPM100083,Varkey Dukaan,Food & Beverage,Sweet Shop,Uttar Pradesh,Meerut,Meerut,Tier 3,228947,2022-09-27,Digital Marketing,Android Low-End,Active,2025-04-25,Yes,No,Yes,3,Paid,648,100387,154.92
BPM100084,Vedika Mart,Food & Beverage,Sweet Shop,Delhi,South Delhi,South Delhi,Tier 3,110025,2022-09-15,App Store Download,Android Mid-Range,Dormant,2025-03-18,Yes,Yes,Yes,0,No Loan,538,123909,230.31
BPM100085,Solanki Dukan,Retail,Grocery,Delhi,New Delhi,New Delhi,Tier 2,110008,2023-05-10,Field Sales,Android High-End,Active,2025-04-29,No,Yes,No,0,No Loan,682,128472,188.38
BPM100086,Solanki & Sons,Food & Beverage,Bakery,Delhi,North Delhi,North Delhi,Tier 3,110067,2023-01-15,Field Sales,Android Low-End,Active,2025-04-23,Yes,No,Yes,3,Paid,269,126916,471.81
BPM100087,Niharika Traders,Food & Beverage,Restaurant,Maharashtra,Aurangabad,Aurangabad,Tier 3,403190,2023-04-18,Partner Bank,Android Mid-Range,Active,2025-05-10,Yes,No,No,0,No Loan,598,78924,131.98
BPM100088,Pandya Point,Retail,Clothing,Gujarat,Vadodara,Vadodara,Tier 2,378032,2023-08-05,Partner Bank,Android Mid-Range,Active,2025-04-24,Yes,No,No,1,Active,686,172836,251.95
BPM100089,New Dukaan,Retail,Stationery,Karnataka,Mysore,Mysore,Tier 2,570822,2022-12-07,App Store Download,Android Low-End,Active,2025-04-30,Yes,Yes,No,0,No Loan,556,109208,196.42
BPM100090,Bhagat Shop,Retail,Stationery,Maharashtra,Pune,Pune,Tier 1,412453,2023-01-31,Field Sales,Android Mid-Range,Active,2025-05-10,Yes,No,Yes,2,Active,1047,119245,113.89
BPM100091,Bhat Center,Services,Electronics Repair,Tamil Nadu,Coimbatore,Coimbatore,Tier 3,601062,2022-11-27,Field Sales,Android Mid-Range,Active,2025-05-02,Yes,No,Yes,0,No Loan,226,58691,259.69
BPM100092,Nori Dukaan,Retail,General Store,Rajasthan,Ajmer,Ajmer,Tier 3,342061,2023-03-08,Field Sales,Android Mid-Range,Active,2025-05-12,Yes,Yes,Yes,0,No Loan,690,50451,73.12
BPM100093,Kothari Traders,Services,Salon,Maharashtra,Nagpur,Nagpur,Tier 3,435110,2023-02-05,Referral,iPhone,Dormant,2025-04-07,Yes,Yes,No,0,No Loan,258,73225,283.82
BPM100094,Sri Industries,Retail,Medical Store,Tamil Nadu,Chennai,Chennai,Tier 3,602076,2023-05-11,Merchant Event,Android Mid-Range,Active,2025-05-06,Yes,Yes,No,0,No Loan,303,55791,184.13
BPM100095,Mega Center,Services,Electronics Repair,Rajasthan,Jaipur,Jaipur,Tier 1,344854,2023-09-17,Field Sales,Android Mid-Range,Dormant,2025-02-26,Yes,No,Yes,0,No Loan,415,51332,123.69
BPM100096,Arya Shop,Retail,Medical Store,Delhi,West Delhi,West Delhi,Tier 3,110006,2023-07-16,Field Sales,Android Low-End,Active,2025-05-19,Yes,No,No,2,Active,301,52735,175.2
BPM100097,Borra Point,Retail,Hardware,Karnataka,Bangalore Urban,Bangalore Urban,Tier 2,562998,2022-09-02,Field Sales,Android Low-End,Active,2025-05-03,Yes,Yes,No,2,Active,509,89537,175.91
BPM100098,Chaudhari Shop,Wholesale,Textile Wholesale,Punjab,Ludhiana,Ludhiana,Tier 3,162456,2023-01-03,Field Sales,Android Low-End,Active,2025-05-04,Yes,Yes,No,0,No Loan,45,266526,5922.8
BPM100099,Chandresh Emporium,Services,Mobile Repair,Gujarat,Vadodara,Vadodara,Tier 2,384896,2022-11-17,Digital Marketing,Android Low-End,Active,2025-04-19,Yes,No,Yes,0,No Loan,348,95778,275.22
BPM100100,Chander Junction,Food & Beverage,Restaurant,West Bengal,Siliguri,Siliguri,Tier 2,713094,2023-01-23,Partner Bank,Android Mid-Range,Active,2025-04-24,Yes,No,Yes,1,Active,987,225921,228.9
BPM100101,Ganesan Shop,Retail,Mobile Shop,Gujarat,Rajkot,Rajkot,Tier 3,395628,2023-10-23,Field Sales,Android Low-End,Active,2025-05-14,Yes,Yes,No,0,No Loan,429,107470,250.51
BPM100102,Super Center,Wholesale,Electronics Wholesale,Punjab,Bathinda,Bathinda,Tier 3,147242,2022-09-23,Field Sales,Android Low-End,Dormant,2025-04-13,Yes,No,Yes,0,No Loan,121,352707,2914.93
BPM100103,Vasana Junction,Services,Salon,Rajasthan,Kota,Kota,Tier 2,329651,2022-11-24,Field Sales,Android Mid-Range,Active,2025-05-14,Yes,No,No,0,No Loan,313,35425,113.18
BPM100104,Nandini Center,Retail,Electronics,Karnataka,Mangalore,Mangalore,Tier 3,572962,2023-02-07,Referral,Android Mid-Range,Active,2025-04-24,Yes,Yes,No,1,Active,325,71692,220.59
BPM100105,Raghavan Dukan,Food & Beverage,Tea Stall,Delhi,North Delhi,North Delhi,Tier 2,110079,2022-12-21,Digital Marketing,Android Mid-Range,Active,2025-04-27,Yes,Yes,No,0,No Loan,833,136798,164.22
BPM100106,Shri Enterprise,Food & Beverage,Juice Center,Karnataka,Hubli,Hubli,Tier 1,564597,2022-11-05,Field Sales,Android Low-End,Active,2025-04-19,Yes,No,Yes,2,Active,996,200888,201.69
BPM100107,Alka Mart,Wholesale,Grocery Wholesale,Punjab,Patiala,Patiala,Tier 1,158535,2023-04-16,Field Sales,Android High-End,Active,2025-04-25,Yes,No,No,3,Paid,286,399269,1396.05
BPM100108,Bhavika Traders,Food & Beverage,Juice Center,Rajasthan,Jaipur,Jaipur,Tier 2,315528,2023-03-03,Partner Bank,Android Mid-Range,Active,2025-05-01,Yes,Yes,No,2,Active,1184,198100,167.31
BPM100109,Dubey Center,Food & Beverage,Sweet Shop,Maharashtra,Nagpur,Nagpur,Tier 2,442984,2022-12-01,Field Sales,Android Mid-Range,Active,2025-05-01,Yes,No,No,3,Paid,882,122087,138.42
BPM100110,Minhas & Co.,Wholesale,Electronics Wholesale,Maharashtra,Aurangabad,Aurangabad,Tier 3,406104,2022-08-06,Field Sales,Android High-End,Active,2025-05-10,Yes,No,No,1,Active,47,473318,10070.6
BPM100111,Murthy Dukaan,Food & Beverage,Tea Stall,Karnataka,Mangalore,Mangalore,Tier 2,566629,2023-06-27,Field Sales,Android Low-End,Active,2025-04-21,Yes,Yes,No,0,No Loan,811,177097,218.37
BPM100112,Shree Dukan,Services,Travel Agency,Rajasthan,Jaipur,Jaipur,Tier 2,300528,2022-11-16,Referral,Android Mid-Range,Active,2025-05-16,Yes,No,Yes,0,No Loan,158,81652,516.78
BPM100113,Vansha Dukan,Food & Beverage,Dhaba,Karnataka,Mysore,Mysore,Tier 2,580580,2024-04-26,Referral,Android Mid-Range,Dormant,2025-03-04,Yes,No,No,0,No Loan,1234,145242,117.7
BPM100114,Nakul Point,Food & Beverage,Bakery,West Bengal,Kolkata,Kolkata,Tier 1,719768,2023-11-21,App Store Download,Android Mid-Range,Active,2025-05-12,Yes,No,No,0,No Loan,1365,169165,123.93
BPM100115,Buch Emporium,Wholesale,Grocery Wholesale,Uttar Pradesh,Meerut,Meerut,Tier 3,222645,2023-08-10,Field Sales,Android Low-End,Active,2025-05-10,Yes,No,No,0,No Loan,30,183304,6110.13
BPM100116,Keer Dukaan,Services,Mobile Repair,Delhi,East Delhi,East Delhi,Tier 3,110068,2023-07-08,Referral,Android Mid-Range,Active,2025-04-20,Yes,No,No,0,No Loan,282,27615,97.93
BPM100117,Modern Emporium,Retail,Mobile Shop,West Bengal,Asansol,Asansol,Tier 2,707736,2023-10-28,Digital Marketing,Android Low-End,Dormant,2025-03-21,Yes,Yes,No,0,No Loan,688,100620,146.25
BPM100118,Baral Shop,Retail,Electronics,Punjab,Amritsar,Amritsar,Tier 3,141443,2023-09-24,Referral,Android Low-End,Dormant,2025-02-27,Yes,No,No,0,No Loan,187,123217,658.91
BPM100119,Saini Enterprise,Retail,Medical Store,Maharashtra,Pune,Pune,Tier 1,414626,2023-04-29,Digital Marketing,Android Mid-Range,Active,2025-05-08,Yes,No,Yes,0,No Loan,461,156421,339.31
BPM100120,Mega Store,Wholesale,Grocery Wholesale,Tamil Nadu,Coimbatore,Coimbatore,Tier 3,600417,2023-06-02,Partner Bank,Android Low-End,Churned,2025-01-13,Yes,No,Yes,0,No Loan,76,514143,6765.04
BPM100121,Murthy Junction,Food & Beverage,Dhaba,West Bengal,Kolkata,Kolkata,Tier 1,702877,2023-12-30,Field Sales,Android Low-End,Active,2025-05-17,Yes,Yes,No,1,Paid,1154,160393,138.99
BPM100122,William Center,Retail,Clothing,Tamil Nadu,Coimbatore,Coimbatore,Tier 3,638319,2023-04-20,Field Sales,Android Mid-Range,Active,2025-05-05,Yes,Yes,Yes,0,No Loan,212,49705,234.46
BPM100123,Modern & Co.,Retail,Hardware,Uttar Pradesh,Varanasi,Varanasi,Tier 3,267300,2022-10-26,Partner Bank,Android Low-End,Active,2025-05-05,Yes,No,Yes,3,Active,217,59573,274.53
BPM100124,New Mart,Retail,Stationery,Rajasthan,Udaipur,Udaipur,Tier 1,308029,2023-09-26,Field Sales,Android Mid-Range,Active,2025-05-06,Yes,Yes,Yes,3,Active,512,105977,206.99
